"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-11-10 11:00:00,0.11,1,0.11,0.15136,397078.52,2017-11-10 14:59:59,72781.1814231,755,92923.56,18739.8701734,"AMBBNB"
2017-11-10 15:00:00,0.15288,0.15521,0.13888,0.14325,31272.74,2017-11-10 18:59:59,4621.3500159,123,9202.26,1353.9295782,"AMBBNB"
2017-11-10 19:00:00,0.14468,0.16,0.13266,0.14396,182509.47,2017-11-10 22:59:59,26549.190851,258,46962.88,7052.8976325,"AMBBNB"
2017-11-10 23:00:00,0.14614,0.16035,0.13921,0.13921,149287.56,2017-11-11 02:59:59,22264.1002938,125,23956.44,3638.6000266,"AMBBNB"
2017-11-11 03:00:00,0.1498,0.15399,0.13993,0.15,18279.35,2017-11-11 06:59:59,2745.3557774,37,8574.57,1292.3684588,"AMBBNB"
2017-11-11 07:00:00,0.14999,0.158,0.14147,0.154,53661.79,2017-11-11 10:59:59,8015.1274181,84,33427.33,5033.5957982,"AMBBNB"
2017-11-11 11:00:00,0.15401,0.15401,0.14533,0.14534,11591.87,2017-11-11 14:59:59,1757.1638699,16,0,0,"AMBBNB"
2017-11-11 15:00:00,0.14534,0.147,0.14467,0.14467,10750.86,2017-11-11 18:59:59,1562.8008307,22,5879.76,854.5064812,"AMBBNB"
2017-11-11 19:00:00,0.15395,0.15395,0.14466,0.14467,23689.8,2017-11-11 22:59:59,3458.9746734,26,7888.38,1169.9561734,"AMBBNB"
2017-11-11 23:00:00,0.15285,0.1544,0.14467,0.15436,16329.16,2017-11-12 02:59:59,2460.5723688,31,10037.02,1537.3680687,"AMBBNB"
2017-11-12 03:00:00,0.16191,0.16192,0.14499,0.145,42671.67,2017-11-12 06:59:59,6260.8376369,72,17473.78,2559.1304529,"AMBBNB"
2017-11-12 07:00:00,0.14467,0.15011,0.119,0.1281,535003.41,2017-11-12 10:59:59,66434.7812431,311,357866.5,44146.6391924,"AMBBNB"
2017-11-12 11:00:00,0.13002,0.14,0.12856,0.12856,58937.19,2017-11-12 14:59:59,7679.1218144,24,50134.08,6537.9236224,"AMBBNB"
2017-11-12 15:00:00,0.13285,0.14,0.13285,0.1395,9726.56,2017-11-12 18:59:59,1313.404073,9,9726.56,1313.404073,"AMBBNB"
2017-11-12 19:00:00,0.13,0.13001,0.13,0.13,69215.53,2017-11-12 22:59:59,8998.0246556,68,66604.3,8658.559,"AMBBNB"
