"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2018-01-05 11:00:00,0.2,0.61098,0.08,0.09098,192667.72,2018-01-05 14:59:59,27069.9031502,836,69042.59,8890.770573,"APPCBNB"
2018-01-05 15:00:00,0.0909,0.2,0.06,0.12994,214123.48,2018-01-05 18:59:59,22490.3566837,756,91149.62,10102.3578447,"APPCBNB"
2018-01-05 19:00:00,0.11893,0.129,0.076,0.08898,106828.45,2018-01-05 22:59:59,11036.5721077,330,32739.14,3557.8731455,"APPCBNB"
2018-01-05 23:00:00,0.08898,0.13,0.08011,0.11,97912.48,2018-01-06 02:59:59,10564.7802024,305,52316.4,5689.6102143,"APPCBNB"
2018-01-06 03:00:00,0.11,0.2,0.0999,0.16209,157298.82,2018-01-06 06:59:59,23702.8044664,920,64727.47,9967.8297215,"APPCBNB"
2018-01-06 07:00:00,0.16209,0.22,0.14,0.167,225217.24,2018-01-06 10:59:59,40069.1073269,1841,75975.23,13198.8090308,"APPCBNB"
2018-01-06 11:00:00,0.16701,0.24015,0.08806,0.24,401395.82,2018-01-06 14:59:59,67372.7513106,2877,152142.47,26440.2365495,"APPCBNB"
2018-01-06 15:00:00,0.229,0.229,0.10602,0.16868,342631.31,2018-01-06 18:59:59,57632.7060854,2766,137911.75,23129.8632981,"APPCBNB"
2018-01-06 19:00:00,0.15901,0.4999,0.15901,0.18492,270251.54,2018-01-06 22:59:59,52608.2256341,2264,140084.65,29213.5260382,"APPCBNB"
2018-01-06 23:00:00,0.18491,0.19196,0.14512,0.17001,283495.04,2018-01-07 02:59:59,46885.6106373,2381,137757.18,22821.0744567,"APPCBNB"
2018-01-07 03:00:00,0.18265,0.18888,0.1301,0.1409,136479.26,2018-01-07 06:59:59,21375.7325121,1348,52360.73,8242.6974762,"APPCBNB"
2018-01-07 07:00:00,0.1461,0.14787,0.129,0.14503,218850.49,2018-01-07 10:59:59,29979.6594777,1351,94750.83,13001.766854,"APPCBNB"
