"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-10-31 04:00:00,3.319e-05,3.495e-05,3.259e-05,3.275e-05,80668,2017-10-31 07:59:59,2.71006396,60,21207,0.72864862,"ASTBTC"
2017-10-31 08:00:00,3.275e-05,3.319e-05,3.16e-05,3.16e-05,27954,2017-10-31 11:59:59,0.90659994,36,13654,0.44845988,"ASTBTC"
2017-10-31 12:00:00,3.181e-05,3.264e-05,3.161e-05,3.161e-05,76542,2017-10-31 15:59:59,2.42284948,37,1876,0.0606014,"ASTBTC"
2017-10-31 16:00:00,3.161e-05,3.161e-05,3.04e-05,3.06e-05,84467,2017-10-31 19:59:59,2.61432274,19,1085,0.03318295,"ASTBTC"
2017-10-31 20:00:00,3.04e-05,3.04e-05,2.942e-05,2.942e-05,12982,2017-10-31 23:59:59,0.39106508,20,5719,0.17331022,"ASTBTC"
2017-11-01 00:00:00,2.95e-05,4.1e-05,2.95e-05,3.66e-05,858779,2017-11-01 03:59:59,31.81805938,482,416027,15.316486,"ASTBTC"
2017-11-01 04:00:00,3.702e-05,3.779e-05,3.321e-05,3.593e-05,367961,2017-11-01 07:59:59,13.25182111,225,116652,4.22312662,"ASTBTC"
2017-11-01 08:00:00,3.446e-05,3.9e-05,3.298e-05,3.307e-05,434063,2017-11-01 11:59:59,15.53430616,186,144572,5.24360496,"ASTBTC"
2017-11-01 12:00:00,3.369e-05,3.489e-05,3.28e-05,3.28e-05,283567,2017-11-01 15:59:59,9.42192344,97,42313,1.44091203,"ASTBTC"
2017-11-01 16:00:00,3.369e-05,3.369e-05,3e-05,3e-05,65105,2017-11-01 19:59:59,2.00429437,82,36404,1.11485623,"ASTBTC"
2017-11-01 20:00:00,2.951e-05,3.01e-05,2.81e-05,2.846e-05,169416,2017-11-01 23:59:59,4.93347821,100,48968,1.45303817,"ASTBTC"
2017-11-02 00:00:00,2.846e-05,3.05e-05,2.833e-05,2.906e-05,299994,2017-11-02 03:59:59,8.80389061,171,97464,2.85705309,"ASTBTC"
2017-11-02 04:00:00,2.999e-05,3.3e-05,2.907e-05,3.1e-05,178779,2017-11-02 07:59:59,5.3718356,124,95796,2.89741507,"ASTBTC"
2017-11-02 08:00:00,3.111e-05,3.381e-05,3.05e-05,3.21e-05,318593,2017-11-02 11:59:59,10.16082627,124,164518,5.28418804,"ASTBTC"
2017-11-02 12:00:00,3.124e-05,3.25e-05,3.081e-05,3.249e-05,95190,2017-11-02 15:59:59,3.01835527,67,53996,1.71738255,"ASTBTC"
2017-11-02 16:00:00,3.249e-05,3.25e-05,3.058e-05,3.246e-05,23440,2017-11-02 19:59:59,0.75578768,33,13392,0.43495983,"ASTBTC"
2017-11-02 20:00:00,3.246e-05,3.35e-05,3.109e-05,3.199e-05,224956,2017-11-02 23:59:59,7.34637369,150,116297,3.83452014,"ASTBTC"
2017-11-03 00:00:00,3.111e-05,3.269e-05,3.109e-05,3.134e-05,171950,2017-11-03 03:59:59,5.47611787,79,43702,1.41253289,"ASTBTC"
2017-11-03 04:00:00,3.169e-05,3.214e-05,3.108e-05,3.108e-05,41789,2017-11-03 07:59:59,1.31930717,37,24281,0.77378428,"ASTBTC"
2017-11-03 08:00:00,3.109e-05,3.25e-05,3.06e-05,3.108e-05,80177,2017-11-03 11:59:59,2.53051386,38,43645,1.39924077,"ASTBTC"
2017-11-03 12:00:00,3.203e-05,3.227e-05,3.11e-05,3.227e-05,10005,2017-11-03 15:59:59,0.32078452,24,4804,0.15460812,"ASTBTC"
2017-11-03 16:00:00,3.227e-05,3.227e-05,3.152e-05,3.152e-05,72703,2017-11-03 19:59:59,2.33400285,51,58266,1.87530052,"ASTBTC"
2017-11-03 20:00:00,3.152e-05,3.22e-05,3.063e-05,3.171e-05,70399,2017-11-03 23:59:59,2.21674006,50,47039,1.4883296,"ASTBTC"
2017-11-04 00:00:00,3.091e-05,3.18e-05,3.053e-05,3.18e-05,56982,2017-11-04 03:59:59,1.76312068,72,33570,1.04203603,"ASTBTC"
2017-11-04 04:00:00,3.219e-05,3.5e-05,3.124e-05,3.455e-05,143629,2017-11-04 07:59:59,4.73417288,130,96582,3.19472297,"ASTBTC"
2017-11-04 08:00:00,3.456e-05,3.748e-05,3.156e-05,3.208e-05,297858,2017-11-04 11:59:59,10.05252738,177,150266,5.12414503,"ASTBTC"
2017-11-04 12:00:00,3.208e-05,3.298e-05,3.208e-05,3.279e-05,15110,2017-11-04 15:59:59,0.49297537,16,6482,0.21283969,"ASTBTC"
2017-11-04 16:00:00,3.221e-05,3.289e-05,3.218e-05,3.219e-05,68410,2017-11-04 19:59:59,2.21650714,73,39427,1.27908269,"ASTBTC"
2017-11-04 20:00:00,3.249e-05,3.355e-05,3.23e-05,3.35e-05,65998,2017-11-04 23:59:59,2.16241511,58,48113,1.57786662,"ASTBTC"
2017-11-05 00:00:00,3.36e-05,3.396e-05,3.302e-05,3.373e-05,72383,2017-11-05 02:59:59,2.43553465,63,29107,0.9823361,"ASTBTC"
2017-11-05 03:00:00,3.373e-05,3.429e-05,3.3e-05,3.33e-05,343543,2017-11-05 06:59:59,11.44108404,197,82181,2.74036007,"ASTBTC"
2017-11-05 07:00:00,3.33e-05,3.369e-05,3.245e-05,3.245e-05,62848,2017-11-05 10:59:59,2.10645185,37,30631,1.03155586,"ASTBTC"
2017-11-05 11:00:00,3.252e-05,3.253e-05,3.251e-05,3.253e-05,7841,2017-11-05 14:59:59,0.25498324,13,0,0,"ASTBTC"
2017-11-05 15:00:00,3.252e-05,3.304e-05,3.251e-05,3.302e-05,24530,2017-11-05 18:59:59,0.80602957,33,16774,0.5535355,"ASTBTC"
2017-11-05 19:00:00,3.318e-05,3.36e-05,3.267e-05,3.311e-05,78941,2017-11-05 22:59:59,2.61789215,68,67206,2.23286683,"ASTBTC"
2017-11-05 23:00:00,3.311e-05,3.36e-05,3.281e-05,3.314e-05,50112,2017-11-06 02:59:59,1.66626336,45,25517,0.85293632,"ASTBTC"
2017-11-06 03:00:00,3.298e-05,3.337e-05,3.158e-05,3.17e-05,130173,2017-11-06 06:59:59,4.2145928,83,54878,1.76395982,"ASTBTC"
2017-11-06 07:00:00,3.161e-05,3.26e-05,3.09e-05,3.214e-05,448551,2017-11-06 10:59:59,14.26992117,722,258151,8.24696261,"ASTBTC"
2017-11-06 11:00:00,3.187e-05,3.4e-05,3.163e-05,3.398e-05,498605,2017-11-06 14:59:59,16.45237273,797,181178,5.99469492,"ASTBTC"
2017-11-06 15:00:00,3.398e-05,3.55e-05,3.26e-05,3.474e-05,541029,2017-11-06 18:59:59,18.7614633,747,265412,9.30470446,"ASTBTC"
2017-11-06 19:00:00,3.3e-05,3.458e-05,3.222e-05,3.264e-05,638235,2017-11-06 22:59:59,21.40488236,682,421648,14.17955421,"ASTBTC"
