"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-11-13 03:00:00,0.00035,0.0045,0.00035,0.00047,119758,2017-11-13 06:59:59,66.3119548,76,60628,30.760761,"BATETH"
2017-11-13 07:00:00,0.00047,0.00047,0.00042,0.00043,59260,2017-11-13 10:59:59,25.97365303,54,15566,6.94061103,"BATETH"
2017-11-13 11:00:00,0.00043,0.00046201,0.00043,0.000456,29599,2017-11-13 14:59:59,12.91270042,25,11486,5.06861437,"BATETH"
2017-11-13 15:00:00,0.00045,0.0004677,0.00045,0.0004677,83316,2017-11-13 18:59:59,38.1018138,37,11531,5.2980148,"BATETH"
2017-11-13 19:00:00,0.0004677,0.0004677,0.00041005,0.000423,57456,2017-11-13 22:59:59,24.75787541,25,15866,6.9518934,"BATETH"
2017-11-13 23:00:00,0.0004658,0.0004658,0.00044,0.00044,4933,2017-11-14 02:59:59,2.257294,13,3358,1.5641388,"BATETH"
2017-11-14 03:00:00,0.00042335,0.00042335,0.00040001,0.000405,79180,2017-11-14 06:59:59,32.17843758,22,4458,1.88311314,"BATETH"
2017-11-14 07:00:00,0.0004111,0.00043,0.00040999,0.000425,36603,2017-11-14 10:59:59,15.0603448,28,9199,3.81496938,"BATETH"
2017-11-14 11:00:00,0.000425,0.0004299,0.000405,0.0004299,23336,2017-11-14 14:59:59,9.53485027,17,20692,8.46183908,"BATETH"
2017-11-14 15:00:00,0.00043314,0.000435,0.000429,0.000429,11303,2017-11-14 18:59:59,4.88151351,11,10010,4.32554028,"BATETH"
2017-11-14 19:00:00,0.00043899,0.000439,0.00042575,0.00042575,8153,2017-11-14 22:59:59,3.56546056,7,7120,3.12566081,"BATETH"
2017-11-14 23:00:00,0.0004104,0.00044818,0.00041012,0.00044764,3819,2017-11-15 02:59:59,1.63220166,8,3710,1.58747002,"BATETH"
2017-11-15 03:00:00,0.00043998,0.00044764,0.00043998,0.00044764,34432,2017-11-15 06:59:59,15.28166327,9,17229,7.58091235,"BATETH"
2017-11-15 07:00:00,0.00041834,0.00044818,0.00041833,0.00044817,7383,2017-11-15 10:59:59,3.20819,28,7027,3.05926226,"BATETH"
2017-11-15 11:00:00,0.00044817,0.00044817,0.00042,0.0004465,5199,2017-11-15 14:59:59,2.30024121,9,1543,0.66279481,"BATETH"
2017-11-15 15:00:00,0.00044539,0.00044539,0.0004299,0.00042999,2089,2017-11-15 18:59:59,0.91345652,10,895,0.39555206,"BATETH"
2017-11-15 19:00:00,0.00042999,0.000445,0.00041049,0.00041049,14780,2017-11-15 22:59:59,6.13213698,11,900,0.3729115,"BATETH"
2017-11-15 23:00:00,0.00041081,0.00041113,0.00041081,0.00041113,617,2017-11-16 02:59:59,0.25363521,3,0,0,"BATETH"
2017-11-16 03:00:00,0.00044133,0.00044689,0.00044133,0.00044689,10969,2017-11-16 06:59:59,4.89469745,17,5750,2.56739185,"BATETH"
2017-11-16 07:00:00,0.00044688,0.000465,0.000435,0.000465,243381,2017-11-16 10:59:59,113.06090248,27,133078,61.81001672,"BATETH"
2017-11-16 11:00:00,0.000465,0.00054,0.00046,0.000504,409829,2017-11-16 14:59:59,200.50872425,150,223442,112.46132454,"BATETH"
