"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-11-11 03:00:00,802,1110,802,1100,236.83579,2017-11-11 06:59:59,245161.0395473,194,171.27727,179529.10018,"BCCUSDT"
2017-11-11 07:00:00,1100,1440,1065.3,1294.99,1368.34599,2017-11-11 10:59:59,1693151.4300628,1568,892.11613,1102678.0838651,"BCCUSDT"
2017-11-11 11:00:00,1294.99,1400,1151,1354,903.57553,2017-11-11 14:59:59,1150943.7149021,1175,700.97827,891185.1130589,"BCCUSDT"
2017-11-11 15:00:00,1349,1398,1225,1311,200.94014,2017-11-11 18:59:59,265718.0967461,357,147.87368,197022.6461856,"BCCUSDT"
2017-11-11 19:00:00,1334,1780.99,1280,1752,1351.68657,2017-11-11 22:59:59,2121639.9704864,2286,986.46576,1521679.9598474,"BCCUSDT"
2017-11-11 23:00:00,1750.1,2507,1001,1600,2615.00106,2017-11-12 02:59:59,4686857.8463246,4009,1467.83487,2680201.8956059,"BCCUSDT"
2017-11-12 03:00:00,1600,1749,1150,1320.01,1508.06691,2017-11-12 06:59:59,2180100.5218311,2590,723.61154,1056360.6142393,"BCCUSDT"
2017-11-12 07:00:00,1320.05,1740,1273.33,1450.57,1162.06805,2017-11-12 10:59:59,1784392.5089386,2250,675.82638,1032121.5304485,"BCCUSDT"
2017-11-12 11:00:00,1375,1548.99,1150,1300,451.25772,2017-11-12 14:59:59,590122.9297198,851,172.49982,231964.7433685,"BCCUSDT"
2017-11-12 15:00:00,1300,1610,1222.91,1362.84,789.39692,2017-11-12 18:59:59,1145843.7725329,1785,340.72758,493761.4996251,"BCCUSDT"
2017-11-12 19:00:00,1362.84,1449.99,1270.21,1270.75,339.40117,2017-11-12 22:59:59,458867.1704966,751,99.6764,135218.1726623,"BCCUSDT"
2017-11-12 23:00:00,1299,1310.3,1011,1161.07,740.39915,2017-11-13 02:59:59,860808.7410368,1477,366.94745,432213.5638881,"BCCUSDT"
2017-11-13 03:00:00,1161.07,1227.86,1090,1113,200.81362,2017-11-13 06:59:59,229194.2274424,424,103.18886,118392.8343654,"BCCUSDT"
2017-11-13 07:00:00,1108.99,1328,1030,1190.11,723.62817,2017-11-13 10:59:59,855146.752503,1081,314.28806,381801.6457968,"BCCUSDT"
2017-11-13 11:00:00,1190.11,1500,1190,1357.95,764.34384,2017-11-13 14:59:59,1051852.8951719,1638,478.32908,665464.9453892,"BCCUSDT"
2017-11-13 15:00:00,1394.32,1469.97,1250,1350,288.68948,2017-11-13 18:59:59,390035.8738722,475,153.10425,209005.012594,"BCCUSDT"
2017-11-13 19:00:00,1350,1361.99,1181.92,1190.39,202.74156,2017-11-13 22:59:59,256483.2352268,370,65.97208,85028.2932751,"BCCUSDT"
2017-11-13 23:00:00,1198.82,1283.99,1195.06,1225.92,142.9324,2017-11-14 02:59:59,174773.6194491,383,61.55684,75837.2693145,"BCCUSDT"
2017-11-14 03:00:00,1226.75,1345.99,1204.36,1281.02,305.84441,2017-11-14 06:59:59,392322.1009885,537,211.35269,273511.3354924,"BCCUSDT"
2017-11-14 07:00:00,1325.02,1350,1280,1305,144.17744,2017-11-14 10:59:59,188523.4851397,384,87.01272,114665.2757733,"BCCUSDT"
2017-11-14 11:00:00,1313.99,1337,1230,1250,80.42241,2017-11-14 14:59:59,103106.5465063,176,16.47653,21341.0832376,"BCCUSDT"
2017-11-14 15:00:00,1251.01,1290,1242.05,1242.05,24.75043,2017-11-14 18:59:59,31286.2930031,83,14.18821,18034.6120895,"BCCUSDT"
2017-11-14 19:00:00,1243.01,1280,1212,1243,114.99167,2017-11-14 22:59:59,143320.4708106,204,55.08491,69145.2255544,"BCCUSDT"
2017-11-14 23:00:00,1243.22,1310,1241,1285.13,86.93726,2017-11-15 02:59:59,110810.7517019,282,52.80023,67717.609084,"BCCUSDT"
2017-11-15 03:00:00,1279.66,1290.33,1242,1242,54.40191,2017-11-15 06:59:59,69337.7578371,199,35.73155,45741.1583383,"BCCUSDT"
2017-11-15 07:00:00,1243.35,1262.46,1161,1162,365.18879,2017-11-15 10:59:59,443527.6637876,600,45.01882,53939.7218893,"BCCUSDT"
2017-11-15 11:00:00,1166.88,1237.73,1157.02,1209.06,132.9058,2017-11-15 14:59:59,159061.2609027,264,41.95291,50517.5074942,"BCCUSDT"
2017-11-15 15:00:00,1200,1219.97,1165.07,1192,51.89625,2017-11-15 18:59:59,61748.7010859,109,37.37854,44611.4493217,"BCCUSDT"
2017-11-15 19:00:00,1192,1196.92,1100,1100,148.14902,2017-11-15 22:59:59,170251.5337923,322,30.47658,35313.9533765,"BCCUSDT"
2017-11-15 23:00:00,1100,1137,1050.23,1050.23,225.58356,2017-11-16 02:59:59,245357.8762801,459,112.62134,122963.8419708,"BCCUSDT"
2017-11-16 03:00:00,1060,1110,960,1076.03,770.36117,2017-11-16 06:59:59,791632.1060091,1140,159.59414,167216.8341493,"BCCUSDT"
2017-11-16 07:00:00,1080.02,1086.61,971.03,1025.11,1161.64448,2017-11-16 10:59:59,1186522.7886716,1449,212.35447,218537.7638399,"BCCUSDT"
2017-11-16 11:00:00,1025.12,1065.53,986.55,1011.76,903.16461,2017-11-16 14:59:59,914736.5460483,1231,117.73606,119697.2805604,"BCCUSDT"
2017-11-16 15:00:00,1014.74,1050,870,899.35,1242.15199,2017-11-16 18:59:59,1195954.020422,1808,120.99085,115703.201023,"BCCUSDT"
2017-11-16 19:00:00,904,1075,852.36,980.02,1301.45092,2017-11-16 22:59:59,1234233.7808752,1805,370.32252,358694.9236061,"BCCUSDT"
2017-11-16 23:00:00,980.91,1209.99,965,1209.99,1374.43963,2017-11-17 02:59:59,1450704.8877945,1794,519.69447,566746.3108985,"BCCUSDT"
2017-11-17 03:00:00,1209.98,1209.99,1042,1063.24,1187.48758,2017-11-17 06:59:59,1315102.2261525,1534,313.222,350714.6989133,"BCCUSDT"
2017-11-17 07:00:00,1063.26,1147,1034.32,1056.07,997.87368,2017-11-17 10:59:59,1071974.7259378,1299,255.89274,276047.5632527,"BCCUSDT"
