"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-10-31 04:00:00,0.446888,0.446888,0.446888,0.446888,9.07,2017-10-31 07:59:59,4.05327416,3,0,0,"BTGETH"
2017-10-31 08:00:00,0.425908,0.445961,0.425908,0.42591,2.51,2017-10-31 11:59:59,1.10283535,8,1.05,0.46815788,"BTGETH"
2017-10-31 12:00:00,0.425908,0.53,0.425907,0.459182,90.04,2017-10-31 15:59:59,43.64019716,39,86.15,41.86674668,"BTGETH"
2017-10-31 16:00:00,0.529973,0.555,0.529908,0.555,30.25,2017-10-31 19:59:59,16.70680618,20,11.88,6.54420658,"BTGETH"
2017-10-31 20:00:00,0.549,0.5495,0.517391,0.520927,12.34,2017-10-31 23:59:59,6.71133032,24,10.42,5.70888394,"BTGETH"
2017-11-01 00:00:00,0.503176,0.504247,0.479861,0.479861,9.75,2017-11-01 03:59:59,4.77323176,31,3.51,1.7121137,"BTGETH"
2017-11-01 04:00:00,0.49,0.502184,0.455547,0.455547,34.09,2017-11-01 07:59:59,16.56932618,40,2.04,1.00449067,"BTGETH"
2017-11-01 08:00:00,0.498888,0.548899,0.498888,0.523149,57.28,2017-11-01 11:59:59,30.08719516,34,28.68,14.96298247,"BTGETH"
2017-11-01 12:00:00,0.525582,0.525582,0.510012,0.510012,13.89,2017-11-01 15:59:59,7.26809612,12,8.06,4.21658094,"BTGETH"
2017-11-01 16:00:00,0.510012,0.54178,0.50009,0.51111,87.58,2017-11-01 19:59:59,45.86318979,22,19.22,10.22438968,"BTGETH"
2017-11-01 20:00:00,0.511945,0.5494,0.51099,0.51099,34,2017-11-01 23:59:59,17.54543107,33,6.79,3.63631904,"BTGETH"
2017-11-02 00:00:00,0.497003,0.497003,0.482,0.482103,30.12,2017-11-02 03:59:59,14.84025024,22,1.97,0.97909591,"BTGETH"
2017-11-02 04:00:00,0.482103,0.485964,0.435788,0.435788,101.96,2017-11-02 07:59:59,45.99038083,49,11.11,4.93237383,"BTGETH"
2017-11-02 08:00:00,0.452575,0.474832,0.426349,0.450001,37.88,2017-11-02 11:59:59,17.59432163,20,21.02,9.80169814,"BTGETH"
2017-11-02 12:00:00,0.46,0.491145,0.45,0.45,69.88,2017-11-02 15:59:59,32.37756174,20,3.55,1.73334626,"BTGETH"
2017-11-02 16:00:00,0.45001,0.470304,0.45001,0.462,8.06,2017-11-02 19:59:59,3.77992676,7,7.4,3.4749142,"BTGETH"
2017-11-02 20:00:00,0.45001,0.45001,0.436555,0.436555,52.69,2017-11-02 23:59:59,23.16168106,27,1.51,0.65991681,"BTGETH"
2017-11-03 00:00:00,0.446555,0.458654,0.434,0.434,65.91,2017-11-03 03:59:59,28.81804121,28,20.35,8.89016802,"BTGETH"
2017-11-03 04:00:00,0.434,0.453293,0.4266,0.433,139.89,2017-11-03 07:59:59,61.31685936,54,34.17,15.18357031,"BTGETH"
