"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-12-10 19:00:00,4.012e-05,9.9e-05,4.012e-05,6.219e-05,10639789,2017-12-10 22:59:59,650.6530626,592,7015514,440.57151336,"CNDETH"
2017-12-10 23:00:00,6.107e-05,6.799e-05,5.7e-05,5.9e-05,26499923,2017-12-11 02:59:59,1645.608123,1697,15802551,987.04452766,"CNDETH"
2017-12-11 03:00:00,5.93e-05,6.049e-05,5.003e-05,6.009e-05,26655882,2017-12-11 06:59:59,1467.50710152,1881,13597887,755.40666332,"CNDETH"
2017-12-11 07:00:00,6.009e-05,6.15e-05,5.501e-05,5.548e-05,30176153,2017-12-11 10:59:59,1764.96311743,2281,13141060,773.20897044,"CNDETH"
2017-12-11 11:00:00,5.566e-05,5.822e-05,5.334e-05,5.335e-05,21756627,2017-12-11 14:59:59,1199.81155116,1947,8244043,456.52800718,"CNDETH"
2017-12-11 15:00:00,5.335e-05,5.506e-05,4.513e-05,4.522e-05,29648781,2017-12-11 18:59:59,1512.69292512,2328,8453670,432.70727282,"CNDETH"
2017-12-11 19:00:00,4.56e-05,4.762e-05,4.2e-05,4.62e-05,30646050,2017-12-11 22:59:59,1357.7051137,1861,11828893,526.86593495,"CNDETH"
2017-12-11 23:00:00,4.624e-05,4.78e-05,4.411e-05,4.654e-05,18160416,2017-12-12 02:59:59,828.46746146,1392,6315772,290.01302,"CNDETH"
2017-12-12 03:00:00,4.654e-05,4.797e-05,4.161e-05,4.313e-05,24684254,2017-12-12 06:59:59,1101.77306645,1786,8197448,366.36977974,"CNDETH"
2017-12-12 07:00:00,4.368e-05,4.421e-05,2.659e-05,3.147e-05,40934929,2017-12-12 10:59:59,1522.62409968,2180,15777734,569.8811256,"CNDETH"
2017-12-12 11:00:00,3.053e-05,3.948e-05,3.053e-05,3.345e-05,21115746,2017-12-12 14:59:59,710.78245289,1484,7942097,269.9552562,"CNDETH"
2017-12-12 15:00:00,3.347e-05,3.45e-05,3.001e-05,3.025e-05,18320376,2017-12-12 18:59:59,589.33161527,1484,6333549,204.2543133,"CNDETH"
2017-12-12 19:00:00,3.061e-05,3.173e-05,2.712e-05,3.031e-05,27591599,2017-12-12 22:59:59,805.12795689,1714,8225683,241.48811352,"CNDETH"
2017-12-12 23:00:00,3.06e-05,3.399e-05,2.57e-05,2.83e-05,18311543,2017-12-13 02:59:59,535.93934458,1078,7793088,230.97394782,"CNDETH"
2017-12-13 03:00:00,2.83e-05,2.965e-05,2.502e-05,2.733e-05,22994973,2017-12-13 06:59:59,626.68164374,1510,8185940,224.06479945,"CNDETH"
2017-12-13 07:00:00,2.733e-05,2.77e-05,2.28e-05,2.33e-05,27122690,2017-12-13 10:59:59,692.07892547,1679,11809339,300.6213901,"CNDETH"
2017-12-13 11:00:00,2.291e-05,2.346e-05,2.054e-05,2.106e-05,38475509,2017-12-13 14:59:59,834.19525451,1872,17729641,384.80890727,"CNDETH"
2017-12-13 15:00:00,2.101e-05,2.63e-05,2.055e-05,2.513e-05,21160389,2017-12-13 18:59:59,505.00006639,1376,9199725,221.58519067,"CNDETH"
2017-12-13 19:00:00,2.517e-05,2.852e-05,2.2e-05,2.626e-05,23190360,2017-12-13 22:59:59,555.56017451,1369,8383941,201.95910012,"CNDETH"
2017-12-13 23:00:00,2.625e-05,3.15e-05,2.538e-05,2.686e-05,21994977,2017-12-14 02:59:59,609.77034252,1411,9389344,263.01449291,"CNDETH"
2017-12-14 03:00:00,2.7e-05,2.791e-05,2.301e-05,2.595e-05,28642782,2017-12-14 06:59:59,711.85553281,1731,10292207,253.93114886,"CNDETH"
