"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-10-31 04:00:00,6.551e-05,6.664e-05,6.255e-05,6.256e-05,43729,2017-10-31 07:59:59,2.80127333,45,12828,0.83359886,"ENGBTC"
2017-10-31 08:00:00,6.256e-05,6.49e-05,6.003e-05,6.022e-05,108367,2017-10-31 11:59:59,6.68942811,104,49061,3.05633654,"ENGBTC"
2017-10-31 12:00:00,6.022e-05,6.248e-05,5.818e-05,5.933e-05,126336,2017-10-31 15:59:59,7.59876827,66,45461,2.76748077,"ENGBTC"
2017-10-31 16:00:00,5.841e-05,6.199e-05,5.623e-05,5.623e-05,30959,2017-10-31 19:59:59,1.77904087,18,5683,0.3308834,"ENGBTC"
2017-10-31 20:00:00,6.191e-05,6.193e-05,5.623e-05,5.812e-05,31047,2017-10-31 23:59:59,1.78007028,36,19130,1.10464209,"ENGBTC"
2017-11-01 00:00:00,6.175e-05,6.175e-05,5.65e-05,5.701e-05,45663,2017-11-01 03:59:59,2.64603493,59,12173,0.72831761,"ENGBTC"
2017-11-01 04:00:00,5.703e-05,5.703e-05,5.251e-05,5.516e-05,130233,2017-11-01 07:59:59,7.11361142,65,36932,2.04883693,"ENGBTC"
2017-11-01 08:00:00,5.545e-05,6.5e-05,5.4e-05,5.804e-05,194975,2017-11-01 11:59:59,11.7201508,87,155099,9.38045131,"ENGBTC"
2017-11-01 12:00:00,5.805e-05,5.997e-05,5.711e-05,5.75e-05,34005,2017-11-01 15:59:59,1.97031115,30,3822,0.22131313,"ENGBTC"
2017-11-01 16:00:00,5.711e-05,5.75e-05,5.1e-05,5.1e-05,49102,2017-11-01 19:59:59,2.64741255,42,15693,0.85583088,"ENGBTC"
2017-11-01 20:00:00,5.102e-05,5.441e-05,5e-05,5.017e-05,82076,2017-11-01 23:59:59,4.175092,62,14894,0.78575139,"ENGBTC"
2017-11-02 00:00:00,5.021e-05,5.4e-05,4.805e-05,4.927e-05,68708,2017-11-02 03:59:59,3.38482281,65,30017,1.48979683,"ENGBTC"
2017-11-02 04:00:00,4.81e-05,4.924e-05,4.347e-05,4.6e-05,117972,2017-11-02 07:59:59,5.38528976,115,48942,2.2304967,"ENGBTC"
2017-11-02 08:00:00,4.601e-05,4.907e-05,4.284e-05,4.541e-05,76384,2017-11-02 11:59:59,3.44272183,54,36324,1.67803297,"ENGBTC"
2017-11-02 12:00:00,4.564e-05,4.907e-05,4.35e-05,4.719e-05,39558,2017-11-02 15:59:59,1.81717963,37,16528,0.75733107,"ENGBTC"
2017-11-02 16:00:00,4.72e-05,5.307e-05,4.719e-05,5.126e-05,48282,2017-11-02 19:59:59,2.37069969,70,34087,1.69710505,"ENGBTC"
2017-11-02 20:00:00,4.851e-05,4.95e-05,4.638e-05,4.753e-05,74791,2017-11-02 23:59:59,3.60101572,94,34309,1.6747864,"ENGBTC"
2017-11-03 00:00:00,4.757e-05,4.895e-05,4.75e-05,4.85e-05,23349,2017-11-03 03:59:59,1.11209141,26,2151,0.10455077,"ENGBTC"
2017-11-03 04:00:00,4.85e-05,4.942e-05,4.751e-05,4.941e-05,32201,2017-11-03 07:59:59,1.55193851,49,12627,0.61899915,"ENGBTC"
2017-11-03 08:00:00,4.89e-05,5.518e-05,4.874e-05,5.109e-05,93932,2017-11-03 11:59:59,4.96691042,94,86945,4.59997277,"ENGBTC"
2017-11-03 12:00:00,5.2e-05,5.4e-05,4.78e-05,4.803e-05,49830,2017-11-03 15:59:59,2.53861517,54,8963,0.48174757,"ENGBTC"
2017-11-03 16:00:00,5.159e-05,5.279e-05,4.912e-05,5.006e-05,42751,2017-11-03 19:59:59,2.15878292,44,14257,0.73390182,"ENGBTC"
2017-11-03 20:00:00,5.02e-05,5.28e-05,5.019e-05,5.28e-05,20482,2017-11-03 23:59:59,1.07588386,21,17972,0.94845465,"ENGBTC"
2017-11-04 00:00:00,5.28e-05,5.4e-05,5.04e-05,5.044e-05,10350,2017-11-04 03:59:59,0.54855768,25,7790,0.41772358,"ENGBTC"
2017-11-04 04:00:00,5.108e-05,5.4e-05,5.081e-05,5.313e-05,19789,2017-11-04 07:59:59,1.04577669,36,13169,0.70325641,"ENGBTC"
2017-11-04 08:00:00,5.399e-05,5.4e-05,5.107e-05,5.35e-05,36383,2017-11-04 11:59:59,1.94553281,54,16975,0.91544547,"ENGBTC"
2017-11-04 12:00:00,5.444e-05,5.45e-05,5.304e-05,5.448e-05,12630,2017-11-04 15:59:59,0.68504899,24,8376,0.45476541,"ENGBTC"
2017-11-04 16:00:00,5.447e-05,5.447e-05,5.045e-05,5.29e-05,26920,2017-11-04 19:59:59,1.40034645,39,13099,0.68707146,"ENGBTC"
2017-11-04 20:00:00,5.29e-05,5.291e-05,5.101e-05,5.155e-05,20302,2017-11-04 23:59:59,1.04326182,27,8065,0.41868444,"ENGBTC"
2017-11-05 00:00:00,5.18e-05,5.29e-05,5.131e-05,5.289e-05,2535,2017-11-05 02:59:59,0.131883,12,1793,0.09366534,"ENGBTC"
2017-11-05 03:00:00,5.287e-05,5.295e-05,5.045e-05,5.045e-05,128998,2017-11-05 06:59:59,6.67253632,70,120014,6.21425637,"ENGBTC"
2017-11-05 07:00:00,5.051e-05,5.1e-05,4.779e-05,4.805e-05,40562,2017-11-05 10:59:59,1.99572192,25,726,0.03589916,"ENGBTC"
2017-11-05 11:00:00,4.919e-05,5.047e-05,4.75e-05,4.794e-05,55500,2017-11-05 14:59:59,2.66569809,20,5067,0.24717525,"ENGBTC"
2017-11-05 15:00:00,4.775e-05,5.043e-05,4.772e-05,5.01e-05,19489,2017-11-05 18:59:59,0.94045219,19,4113,0.20627497,"ENGBTC"
2017-11-05 19:00:00,4.827e-05,5.046e-05,4.752e-05,5.045e-05,44043,2017-11-05 22:59:59,2.14075355,42,26244,1.29193592,"ENGBTC"
2017-11-05 23:00:00,5.045e-05,5.045e-05,4.861e-05,5.043e-05,24525,2017-11-06 02:59:59,1.2366927,23,21740,1.09651403,"ENGBTC"
2017-11-06 03:00:00,4.862e-05,5.043e-05,4.756e-05,4.835e-05,53744,2017-11-06 06:59:59,2.60462967,69,21704,1.06156146,"ENGBTC"
2017-11-06 07:00:00,4.769e-05,4.892e-05,4.756e-05,4.892e-05,176238,2017-11-06 10:59:59,8.46962214,620,78927,3.81911184,"ENGBTC"
2017-11-06 11:00:00,4.872e-05,5.3e-05,4.857e-05,5.246e-05,137675,2017-11-06 14:59:59,7.04497584,422,52304,2.66756886,"ENGBTC"
2017-11-06 15:00:00,5.245e-05,5.586e-05,4.97e-05,5.586e-05,72594,2017-11-06 18:59:59,3.83343859,196,44423,2.38203836,"ENGBTC"
2017-11-06 19:00:00,5.579e-05,5.579e-05,5.105e-05,5.391e-05,49008,2017-11-06 22:59:59,2.60994355,197,27100,1.46364436,"ENGBTC"
2017-11-06 23:00:00,5.39e-05,5.929e-05,5.174e-05,5.621e-05,191062,2017-11-07 02:59:59,10.56990745,709,137755,7.61574361,"ENGBTC"
2017-11-07 03:00:00,5.697e-05,5.699e-05,5.45e-05,5.575e-05,76286,2017-11-07 06:59:59,4.24499321,289,41516,2.32425536,"ENGBTC"
2017-11-07 07:00:00,5.575e-05,5.799e-05,5.459e-05,5.682e-05,158804,2017-11-07 10:59:59,9.03542954,635,95116,5.4338873,"ENGBTC"
2017-11-07 11:00:00,5.681e-05,5.799e-05,5.622e-05,5.727e-05,284540,2017-11-07 14:59:59,16.28912376,732,196158,11.25794169,"ENGBTC"
2017-11-07 15:00:00,5.754e-05,5.754e-05,5.453e-05,5.501e-05,145919,2017-11-07 18:59:59,8.16616831,523,17281,0.97769238,"ENGBTC"
2017-11-07 19:00:00,5.516e-05,5.898e-05,5.453e-05,5.712e-05,124277,2017-11-07 22:59:59,7.02661884,373,74066,4.21881431,"ENGBTC"
2017-11-07 23:00:00,5.712e-05,5.868e-05,5.55e-05,5.619e-05,148627,2017-11-08 02:59:59,8.41946134,526,47245,2.7074741,"ENGBTC"
2017-11-08 03:00:00,5.555e-05,5.659e-05,5.5e-05,5.656e-05,128239,2017-11-08 06:59:59,7.17137373,451,76056,4.26897607,"ENGBTC"
2017-11-08 07:00:00,5.655e-05,5.656e-05,5.317e-05,5.472e-05,158979,2017-11-08 10:59:59,8.89886321,590,139778,7.84146181,"ENGBTC"
2017-11-08 11:00:00,5.579e-05,6.5e-05,5.32e-05,6.039e-05,335676,2017-11-08 14:59:59,19.91022495,760,224945,13.33148685,"ENGBTC"
2017-11-08 15:00:00,6.039e-05,6.45e-05,5.83e-05,5.876e-05,182053,2017-11-08 18:59:59,11.26839929,560,102463,6.43056582,"ENGBTC"
2017-11-08 19:00:00,6.113e-05,6.328e-05,5.833e-05,6.199e-05,142873,2017-11-08 22:59:59,8.78437762,558,105053,6.4870658,"ENGBTC"
2017-11-08 23:00:00,6.198e-05,6.389e-05,6e-05,6.324e-05,228230,2017-11-09 02:59:59,14.11965329,682,134458,8.38796601,"ENGBTC"
2017-11-09 03:00:00,6.324e-05,6.41e-05,6.168e-05,6.322e-05,184594,2017-11-09 06:59:59,11.63704459,636,76828,4.86679575,"ENGBTC"
2017-11-09 07:00:00,6.322e-05,6.7e-05,6.321e-05,6.656e-05,212957,2017-11-09 10:59:59,13.74306748,714,49811,3.23176587,"ENGBTC"
2017-11-09 11:00:00,6.659e-05,7.294e-05,6.656e-05,6.901e-05,235046,2017-11-09 14:59:59,16.32785522,536,94776,6.65937709,"ENGBTC"
2017-11-09 15:00:00,6.903e-05,7.37e-05,6.9e-05,7.37e-05,217767,2017-11-09 18:59:59,15.36408978,481,81446,5.78043599,"ENGBTC"
2017-11-09 19:00:00,7.371e-05,7.395e-05,7.076e-05,7.374e-05,212699,2017-11-09 22:59:59,15.26762349,709,98422,7.12117423,"ENGBTC"
2017-11-09 23:00:00,7.373e-05,7.374e-05,6.531e-05,6.531e-05,348876,2017-11-10 02:59:59,24.59605471,824,98006,6.93441853,"ENGBTC"
2017-11-10 03:00:00,6.946e-05,7.096e-05,6.536e-05,6.675e-05,184493,2017-11-10 06:59:59,12.41097626,608,84585,5.73726666,"ENGBTC"
2017-11-10 07:00:00,6.549e-05,7.023e-05,6.544e-05,6.607e-05,184417,2017-11-10 10:59:59,12.38675606,639,76201,5.21060417,"ENGBTC"
2017-11-10 11:00:00,6.734e-05,6.878e-05,6.356e-05,6.655e-05,282977,2017-11-10 14:59:59,18.68164918,794,56754,3.82611935,"ENGBTC"
2017-11-10 15:00:00,6.651e-05,6.659e-05,6.356e-05,6.402e-05,198568,2017-11-10 18:59:59,12.99449922,625,112957,7.47735444,"ENGBTC"
2017-11-10 19:00:00,6.401e-05,6.659e-05,6.356e-05,6.652e-05,173336,2017-11-10 22:59:59,11.26585702,398,92644,6.11079311,"ENGBTC"
2017-11-10 23:00:00,6.651e-05,6.655e-05,6.428e-05,6.515e-05,173841,2017-11-11 02:59:59,11.35448795,628,82497,5.4499003,"ENGBTC"
2017-11-11 03:00:00,6.515e-05,6.656e-05,6.512e-05,6.654e-05,145038,2017-11-11 06:59:59,9.56587705,568,85283,5.66259044,"ENGBTC"
2017-11-11 07:00:00,6.651e-05,6.88e-05,6.43e-05,6.697e-05,309930,2017-11-11 10:59:59,20.40846151,857,175116,11.62857674,"ENGBTC"
2017-11-11 11:00:00,6.697e-05,6.87e-05,6.481e-05,6.864e-05,172410,2017-11-11 14:59:59,11.53778672,612,130050,8.77351225,"ENGBTC"
2017-11-11 15:00:00,6.862e-05,7.101e-05,6.511e-05,6.511e-05,176193,2017-11-11 18:59:59,12.21448997,538,130836,9.17527868,"ENGBTC"
2017-11-11 19:00:00,6.768e-05,6.977e-05,6.001e-05,6.542e-05,179028,2017-11-11 22:59:59,11.93470942,574,122307,8.31791307,"ENGBTC"
2017-11-11 23:00:00,6.546e-05,6.969e-05,5.124e-05,6.261e-05,279214,2017-11-12 02:59:59,17.26241848,764,197582,12.55966425,"ENGBTC"
2017-11-12 03:00:00,6.264e-05,6.698e-05,6.002e-05,6.537e-05,184235,2017-11-12 06:59:59,11.58334759,609,94258,6.01068618,"ENGBTC"
2017-11-12 07:00:00,6.234e-05,6.591e-05,6.231e-05,6.584e-05,131609,2017-11-12 10:59:59,8.53698078,395,44112,2.90073093,"ENGBTC"
2017-11-12 11:00:00,6.56e-05,6.964e-05,6.557e-05,6.56e-05,204804,2017-11-12 14:59:59,13.57409267,587,79332,5.33919958,"ENGBTC"
2017-11-12 15:00:00,6.561e-05,6.963e-05,6.558e-05,6.559e-05,158919,2017-11-12 18:59:59,10.50444503,611,6109,0.42370085,"ENGBTC"
2017-11-12 19:00:00,6.79e-05,6.951e-05,6.557e-05,6.558e-05,284902,2017-11-12 22:59:59,18.82442958,896,33046,2.19189863,"ENGBTC"
2017-11-12 23:00:00,6.558e-05,6.782e-05,6.231e-05,6.512e-05,314823,2017-11-13 02:59:59,20.00694101,812,62445,4.03582333,"ENGBTC"
2017-11-13 03:00:00,6.513e-05,6.938e-05,6.5e-05,6.502e-05,333157,2017-11-13 06:59:59,21.79418609,929,165616,10.90062212,"ENGBTC"
2017-11-13 07:00:00,6.557e-05,6.889e-05,6.289e-05,6.392e-05,266951,2017-11-13 10:59:59,17.26657424,846,115882,7.5292666,"ENGBTC"
2017-11-13 11:00:00,6.301e-05,6.399e-05,6.292e-05,6.399e-05,214356,2017-11-13 14:59:59,13.63129728,709,129509,8.28318123,"ENGBTC"
2017-11-13 15:00:00,6.399e-05,6.794e-05,6.292e-05,6.391e-05,216304,2017-11-13 18:59:59,13.8271727,845,160509,10.28151156,"ENGBTC"
2017-11-13 19:00:00,6.39e-05,6.391e-05,6.001e-05,6.208e-05,182917,2017-11-13 22:59:59,11.48223496,427,79074,5.01741038,"ENGBTC"
2017-11-13 23:00:00,6.207e-05,6.208e-05,5.503e-05,5.621e-05,212146,2017-11-14 02:59:59,12.44563785,719,74730,4.53684551,"ENGBTC"
2017-11-14 03:00:00,6.097e-05,6.099e-05,5.62e-05,5.81e-05,159157,2017-11-14 06:59:59,9.40448694,524,104516,6.24999846,"ENGBTC"
2017-11-14 07:00:00,5.819e-05,6.198e-05,5.776e-05,5.935e-05,243860,2017-11-14 10:59:59,14.34812232,813,125217,7.41472082,"ENGBTC"
2017-11-14 11:00:00,5.958e-05,6.1e-05,5.79e-05,6.012e-05,139608,2017-11-14 14:59:59,8.32495684,517,110509,6.63180711,"ENGBTC"
2017-11-14 15:00:00,5.856e-05,6.654e-05,5.856e-05,6.327e-05,283365,2017-11-14 18:59:59,18.03827434,784,218999,13.90560309,"ENGBTC"
2017-11-14 19:00:00,6.152e-05,6.55e-05,5.809e-05,5.988e-05,159034,2017-11-14 22:59:59,9.72313355,492,110445,6.77158224,"ENGBTC"
2017-11-14 23:00:00,5.987e-05,5.996e-05,5.806e-05,5.993e-05,178900,2017-11-15 02:59:59,10.55878793,597,109237,6.49738631,"ENGBTC"
2017-11-15 03:00:00,5.992e-05,6.073e-05,5.831e-05,5.859e-05,202919,2017-11-15 06:59:59,11.93661975,692,86919,5.14276327,"ENGBTC"
2017-11-15 07:00:00,5.859e-05,5.862e-05,5.7e-05,5.701e-05,251642,2017-11-15 10:59:59,14.60417955,905,133737,7.77901471,"ENGBTC"
2017-11-15 11:00:00,5.7e-05,5.701e-05,5.341e-05,5.561e-05,216473,2017-11-15 14:59:59,12.11310661,788,165381,9.28170498,"ENGBTC"
2017-11-15 15:00:00,5.517e-05,5.566e-05,4.802e-05,5.185e-05,360698,2017-11-15 18:59:59,18.6401368,925,218918,11.41604413,"ENGBTC"
2017-11-15 19:00:00,5e-05,5.564e-05,5e-05,5.562e-05,184093,2017-11-15 22:59:59,9.78512593,681,145507,7.81430918,"ENGBTC"
2017-11-15 23:00:00,5.406e-05,5.563e-05,5.123e-05,5.15e-05,210429,2017-11-16 02:59:59,11.04243704,583,65841,3.50476728,"ENGBTC"
2017-11-16 03:00:00,5.149e-05,5.388e-05,4.802e-05,5.003e-05,265398,2017-11-16 06:59:59,13.25926791,800,94916,4.85564451,"ENGBTC"
2017-11-16 07:00:00,5.002e-05,5.14e-05,4.85e-05,5.101e-05,285912,2017-11-16 10:59:59,14.45348479,909,113026,5.75904691,"ENGBTC"
2017-11-16 11:00:00,5.139e-05,5.498e-05,5.059e-05,5.06e-05,245418,2017-11-16 14:59:59,12.51840489,854,88700,4.55759904,"ENGBTC"
2017-11-16 15:00:00,5.198e-05,5.239e-05,4.8e-05,4.982e-05,520859,2017-11-16 18:59:59,26.23760148,911,91351,4.61614072,"ENGBTC"
2017-11-16 19:00:00,4.972e-05,4.984e-05,4.19e-05,4.699e-05,289163,2017-11-16 22:59:59,13.31877482,569,189676,8.71091909,"ENGBTC"
2017-11-16 23:00:00,4.699e-05,4.926e-05,4.56e-05,4.769e-05,197858,2017-11-17 02:59:59,9.43627123,758,176849,8.4670485,"ENGBTC"
2017-11-17 03:00:00,4.77e-05,4.977e-05,4.57e-05,4.822e-05,229659,2017-11-17 06:59:59,11.03793093,880,162599,7.86346767,"ENGBTC"
2017-11-17 07:00:00,4.82e-05,5.061e-05,4.562e-05,4.801e-05,258874,2017-11-17 10:59:59,12.64278924,885,109852,5.41212866,"ENGBTC"
2017-11-17 11:00:00,4.707e-05,4.801e-05,4.561e-05,4.801e-05,233777,2017-11-17 14:59:59,10.89531011,834,126776,5.94042224,"ENGBTC"
2017-11-17 15:00:00,4.8e-05,5.397e-05,4.56e-05,5.367e-05,282088,2017-11-17 18:59:59,14.03701197,686,107305,5.31421438,"ENGBTC"
2017-11-17 19:00:00,5.26e-05,5.26e-05,4.572e-05,4.99e-05,222412,2017-11-17 22:59:59,10.8732429,844,100510,4.96636062,"ENGBTC"
2017-11-17 23:00:00,4.988e-05,4.994e-05,4.595e-05,4.786e-05,198466,2017-11-18 02:59:59,9.58335089,785,102902,5.00594485,"ENGBTC"
2017-11-18 03:00:00,4.787e-05,4.993e-05,4.662e-05,4.958e-05,212711,2017-11-18 06:59:59,10.40536463,697,154006,7.5629957,"ENGBTC"
2017-11-18 07:00:00,4.959e-05,5.299e-05,4.842e-05,5.148e-05,181075,2017-11-18 10:59:59,9.04379624,705,113119,5.66597494,"ENGBTC"
2017-11-18 11:00:00,5.149e-05,5.499e-05,5.044e-05,5.245e-05,233059,2017-11-18 14:59:59,12.34657782,754,135050,7.18963558,"ENGBTC"
2017-11-18 15:00:00,5.261e-05,5.305e-05,5e-05,5.156e-05,256589,2017-11-18 18:59:59,13.34699618,786,142398,7.41961498,"ENGBTC"
2017-11-18 19:00:00,5.05e-05,5.236e-05,4.941e-05,5.181e-05,166910,2017-11-18 22:59:59,8.60357708,692,117461,6.09174654,"ENGBTC"
2017-11-18 23:00:00,5.129e-05,5.499e-05,5.061e-05,5.498e-05,328535,2017-11-19 02:59:59,17.44126065,867,188117,10.01773909,"ENGBTC"
2017-11-19 03:00:00,5.497e-05,5.499e-05,5.119e-05,5.276e-05,264309,2017-11-19 06:59:59,14.13070384,833,136360,7.26575772,"ENGBTC"
2017-11-19 07:00:00,5.233e-05,5.279e-05,5.055e-05,5.234e-05,198087,2017-11-19 10:59:59,10.38260111,734,108243,5.69190693,"ENGBTC"
2017-11-19 11:00:00,5.233e-05,5.242e-05,4.842e-05,4.845e-05,257892,2017-11-19 14:59:59,12.90029243,612,156423,7.90987143,"ENGBTC"
2017-11-19 15:00:00,4.846e-05,4.894e-05,4.842e-05,4.846e-05,177124,2017-11-19 18:59:59,8.6131565,669,86920,4.24356651,"ENGBTC"
2017-11-19 19:00:00,4.846e-05,5.113e-05,4.842e-05,5.042e-05,176707,2017-11-19 22:59:59,8.70786798,657,76563,3.80199179,"ENGBTC"
2017-11-19 23:00:00,5.042e-05,5.076e-05,4.726e-05,4.781e-05,195552,2017-11-20 02:59:59,9.49543508,624,59368,2.91565064,"ENGBTC"
