"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-11-02 20:00:00,2e-06,6e-06,2e-06,3.2e-06,845484,2017-11-02 23:59:59,2.95146758,122,229792,0.9294903,"ENJBTC"
2017-11-03 00:00:00,3.17e-06,3.62e-06,2.58e-06,2.88e-06,10609061,2017-11-03 03:59:59,31.27912163,864,3073680,8.99477095,"ENJBTC"
2017-11-03 04:00:00,2.83e-06,3.35e-06,2.82e-06,3.26e-06,10723025,2017-11-03 07:59:59,32.94424437,407,7091298,21.86364313,"ENJBTC"
2017-11-03 08:00:00,3.26e-06,3.45e-06,2.94e-06,2.94e-06,10391121,2017-11-03 11:59:59,33.36038981,523,3718019,11.97542353,"ENJBTC"
2017-11-03 12:00:00,2.94e-06,2.96e-06,2.61e-06,2.68e-06,2845405,2017-11-03 15:59:59,7.98487786,150,1321774,3.75108861,"ENJBTC"
2017-11-03 16:00:00,2.64e-06,2.93e-06,2.56e-06,2.86e-06,2071080,2017-11-03 19:59:59,5.72461158,164,1309921,3.62139792,"ENJBTC"
2017-11-03 20:00:00,2.9e-06,2.91e-06,2.68e-06,2.79e-06,2973632,2017-11-03 23:59:59,8.2638873,133,1342163,3.75498857,"ENJBTC"
2017-11-04 00:00:00,2.78e-06,2.79e-06,2.5e-06,2.59e-06,3525516,2017-11-04 03:59:59,9.34200797,162,1468441,3.95162638,"ENJBTC"
2017-11-04 04:00:00,2.58e-06,2.72e-06,2.58e-06,2.7e-06,2147209,2017-11-04 07:59:59,5.75681709,108,1755503,4.7221954,"ENJBTC"
2017-11-04 08:00:00,2.69e-06,2.72e-06,2.64e-06,2.72e-06,944870,2017-11-04 11:59:59,2.5382185,99,660435,1.78008027,"ENJBTC"
2017-11-04 12:00:00,2.67e-06,2.73e-06,2.67e-06,2.71e-06,432041,2017-11-04 15:59:59,1.17555835,35,295795,0.80693054,"ENJBTC"
2017-11-04 16:00:00,2.7e-06,2.71e-06,2.41e-06,2.5e-06,3035982,2017-11-04 19:59:59,7.54494879,85,257344,0.65619358,"ENJBTC"
2017-11-04 20:00:00,2.48e-06,2.65e-06,2.41e-06,2.57e-06,1037621,2017-11-04 23:59:59,2.67742393,83,427998,1.11099787,"ENJBTC"
2017-11-05 00:00:00,2.57e-06,2.57e-06,2.31e-06,2.54e-06,2687009,2017-11-05 02:59:59,6.58683467,58,401925,1.02519561,"ENJBTC"
2017-11-05 03:00:00,2.53e-06,2.55e-06,2.46e-06,2.47e-06,1816676,2017-11-05 06:59:59,4.52177837,103,1301212,3.24421941,"ENJBTC"
2017-11-05 07:00:00,2.47e-06,2.5e-06,2.45e-06,2.49e-06,1238660,2017-11-05 10:59:59,3.0628662,73,1039221,2.57231361,"ENJBTC"
2017-11-05 11:00:00,2.46e-06,2.55e-06,2.41e-06,2.43e-06,2130588,2017-11-05 14:59:59,5.31419823,77,1608291,4.0344506,"ENJBTC"
2017-11-05 15:00:00,2.43e-06,2.49e-06,2.4e-06,2.4e-06,1181244,2017-11-05 18:59:59,2.89957589,66,619121,1.53616679,"ENJBTC"
2017-11-05 19:00:00,2.45e-06,2.5e-06,2.42e-06,2.5e-06,1894117,2017-11-05 22:59:59,4.69900387,84,1553967,3.86405783,"ENJBTC"
2017-11-05 23:00:00,2.48e-06,2.52e-06,2.41e-06,2.41e-06,1714948,2017-11-06 02:59:59,4.20745387,88,741184,1.83824147,"ENJBTC"
2017-11-06 03:00:00,2.42e-06,2.47e-06,2.18e-06,2.46e-06,7932810,2017-11-06 06:59:59,18.3512439,165,2116597,4.93673523,"ENJBTC"
2017-11-06 07:00:00,2.45e-06,2.45e-06,2.34e-06,2.37e-06,2945077,2017-11-06 10:59:59,7.04612819,125,1563870,3.77348596,"ENJBTC"
2017-11-06 11:00:00,2.37e-06,2.55e-06,2.37e-06,2.55e-06,2910568,2017-11-06 14:59:59,7.24535932,93,1773165,4.43671413,"ENJBTC"
2017-11-06 15:00:00,2.55e-06,2.55e-06,2.38e-06,2.5e-06,3131222,2017-11-06 18:59:59,7.65597945,110,1896685,4.66035577,"ENJBTC"
2017-11-06 19:00:00,2.48e-06,2.56e-06,2.48e-06,2.54e-06,772473,2017-11-06 22:59:59,1.95257617,68,441563,1.1182695,"ENJBTC"
2017-11-06 23:00:00,2.49e-06,2.55e-06,2.46e-06,2.51e-06,2542868,2017-11-07 02:59:59,6.40851597,89,2096304,5.30176334,"ENJBTC"
