"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-10-31 04:00:00,0.0056579,0.0059222,0.0054532,0.0055482,30570,2017-10-31 07:59:59,175.8363373,131,16243,94.3043496,"EVXETH"
2017-10-31 08:00:00,0.0055554,0.0057,0.00529,0.00529,28492,2017-10-31 11:59:59,155.4833381,142,3765,20.7856678,"EVXETH"
2017-10-31 12:00:00,0.0055611,0.0056094,0.00515,0.0054999,6234,2017-10-31 15:59:59,32.4998975,37,165,0.881394,"EVXETH"
2017-10-31 16:00:00,0.0054999,0.0056094,0.005,0.0050252,16157,2017-10-31 19:59:59,83.2462678,67,3802,20.3640255,"EVXETH"
2017-10-31 20:00:00,0.0051501,0.0055129,0.0050401,0.00525,19991,2017-10-31 23:59:59,105.5906368,67,10136,54.25379,"EVXETH"
2017-11-01 00:00:00,0.0052501,0.0052504,0.0049,0.0049,28477,2017-11-01 03:59:59,144.5358761,62,3452,17.44811,"EVXETH"
2017-11-01 04:00:00,0.0049001,0.0050498,0.00412,0.00446,25624,2017-11-01 07:59:59,119.3692264,116,3772,17.5131258,"EVXETH"
2017-11-01 08:00:00,0.0044632,0.0047263,0.0043101,0.0044001,21458,2017-11-01 11:59:59,97.0225905,72,6258,28.4035771,"EVXETH"
2017-11-01 12:00:00,0.0046,0.0046784,0.0043101,0.0043101,21942,2017-11-01 15:59:59,99.7609698,77,174,0.8022814,"EVXETH"
2017-11-01 16:00:00,0.0043101,0.0045613,0.0038,0.0040395,27164,2017-11-01 19:59:59,111.3000902,82,1510,6.2643332,"EVXETH"
2017-11-01 20:00:00,0.0040505,0.0044973,0.0039,0.0044393,23138,2017-11-01 23:59:59,95.9274509,108,5183,22.3983421,"EVXETH"
2017-11-02 00:00:00,0.0043217,0.00477,0.00427,0.0044201,8439,2017-11-02 03:59:59,37.5431693,56,4217,19.2098505,"EVXETH"
2017-11-02 04:00:00,0.0043001,0.0045953,0.0040501,0.0041502,29272,2017-11-02 07:59:59,123.5384911,86,1796,7.8583969,"EVXETH"
2017-11-02 08:00:00,0.00425,0.0046303,0.0041608,0.0046303,12862,2017-11-02 11:59:59,57.9662311,56,7059,32.0970802,"EVXETH"
2017-11-02 12:00:00,0.0046304,0.00471,0.00438,0.0046593,3993,2017-11-02 15:59:59,18.1097732,36,1617,7.5478085,"EVXETH"
2017-11-02 16:00:00,0.0046987,0.0051,0.0043801,0.00494,9272,2017-11-02 19:59:59,44.0257401,60,5775,28.0451904,"EVXETH"
2017-11-02 20:00:00,0.0049399,0.00592,0.0047,0.0052001,40254,2017-11-02 23:59:59,208.8260543,157,27478,143.1491544,"EVXETH"
2017-11-03 00:00:00,0.0052001,0.0058999,0.0052001,0.0055,18735,2017-11-03 03:59:59,103.3793153,117,9443,53.0604762,"EVXETH"
2017-11-03 04:00:00,0.0055101,0.0058,0.0050249,0.00521,19043,2017-11-03 07:59:59,103.0416091,85,8229,45.223796,"EVXETH"
2017-11-03 08:00:00,0.00521,0.0056769,0.00521,0.0056647,3169,2017-11-03 11:59:59,16.9207808,22,1413,7.652132,"EVXETH"
2017-11-03 12:00:00,0.0054218,0.0056646,0.0053096,0.0055999,1252,2017-11-03 15:59:59,6.8466046,16,53,0.2987357,"EVXETH"
