"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-11-23 03:00:00,7e-06,7.1e-05,7e-06,8e-06,27882631,2017-11-23 06:59:59,271.83339172,2796,9286592,91.74777034,"FUELBTC"
2017-11-23 07:00:00,8.02e-06,8.39e-06,6.98e-06,7.29e-06,9617636,2017-11-23 10:59:59,72.50460767,943,3102149,23.82435723,"FUELBTC"
2017-11-23 11:00:00,7.19e-06,7.49e-06,6.42e-06,6.73e-06,3477394,2017-11-23 14:59:59,24.03010209,436,1039372,7.2754392,"FUELBTC"
2017-11-23 15:00:00,6.73e-06,7.01e-06,6.68e-06,6.81e-06,1582777,2017-11-23 18:59:59,10.80688778,229,632001,4.35311717,"FUELBTC"
2017-11-23 19:00:00,6.81e-06,7.47e-06,6.66e-06,7.29e-06,4088392,2017-11-23 22:59:59,28.8985593,445,2138709,15.27863313,"FUELBTC"
2017-11-23 23:00:00,7.3e-06,9.25e-06,6.65e-06,6.87e-06,11798334,2017-11-24 02:59:59,95.33362786,1135,5462816,44.51091242,"FUELBTC"
2017-11-24 03:00:00,6.87e-06,8.19e-06,6.5e-06,7.19e-06,7759621,2017-11-24 06:59:59,56.99149588,744,3753683,27.63506428,"FUELBTC"
2017-11-24 07:00:00,7.25e-06,7.66e-06,6.8e-06,7.05e-06,1862829,2017-11-24 10:59:59,13.46442922,338,524098,3.8152461,"FUELBTC"
2017-11-24 11:00:00,7.03e-06,7.05e-06,6.66e-06,6.77e-06,980559,2017-11-24 14:59:59,6.64717564,224,254085,1.74036605,"FUELBTC"
2017-11-24 15:00:00,6.77e-06,6.96e-06,6.01e-06,6.56e-06,1254159,2017-11-24 18:59:59,8.04409579,183,152310,0.9939834,"FUELBTC"
2017-11-24 19:00:00,6.56e-06,6.89e-06,6.12e-06,6.34e-06,1326295,2017-11-24 22:59:59,8.62642676,324,430538,2.84751877,"FUELBTC"
2017-11-24 23:00:00,6.35e-06,7.21e-06,6.35e-06,6.7e-06,1988580,2017-11-25 02:59:59,13.6695291,426,1117372,7.75677853,"FUELBTC"
2017-11-25 03:00:00,6.69e-06,6.74e-06,5.72e-06,6.3e-06,2740437,2017-11-25 06:59:59,17.15244235,404,597678,3.82163247,"FUELBTC"
2017-11-25 07:00:00,6.3e-06,6.3e-06,5.5e-06,5.74e-06,2696952,2017-11-25 10:59:59,15.721372,423,716871,4.20994357,"FUELBTC"
2017-11-25 11:00:00,5.65e-06,5.94e-06,5.65e-06,5.94e-06,1152518,2017-11-25 14:59:59,6.67537143,173,598335,3.48433031,"FUELBTC"
2017-11-25 15:00:00,5.9e-06,6.09e-06,5.66e-06,5.98e-06,567498,2017-11-25 18:59:59,3.34792113,112,298601,1.77634439,"FUELBTC"
2017-11-25 19:00:00,5.97e-06,6.49e-06,5.65e-06,6.04e-06,1846470,2017-11-25 22:59:59,10.96144005,259,646973,3.92846524,"FUELBTC"
2017-11-25 23:00:00,6.04e-06,6.1e-06,5.53e-06,5.7e-06,1039125,2017-11-26 02:59:59,6.09357786,215,409281,2.44621543,"FUELBTC"
2017-11-26 03:00:00,5.71e-06,6.5e-06,5.61e-06,5.85e-06,1705009,2017-11-26 06:59:59,10.28328012,209,931233,5.71068176,"FUELBTC"
2017-11-26 07:00:00,5.81e-06,5.85e-06,5.21e-06,5.45e-06,1504632,2017-11-26 10:59:59,8.20196418,213,610525,3.34054596,"FUELBTC"
2017-11-26 11:00:00,5.49e-06,5.53e-06,5.03e-06,5.08e-06,1135024,2017-11-26 14:59:59,6.11942891,203,730991,3.95997971,"FUELBTC"
2017-11-26 15:00:00,5.06e-06,5.46e-06,5e-06,5.06e-06,1013908,2017-11-26 18:59:59,5.21091293,151,417678,2.1802885,"FUELBTC"
2017-11-26 19:00:00,5.11e-06,5.96e-06,4.8e-06,4.8e-06,2535503,2017-11-26 22:59:59,13.32268363,466,1383154,7.38238944,"FUELBTC"
2017-11-26 23:00:00,4.83e-06,5.15e-06,4.55e-06,4.91e-06,1994730,2017-11-27 02:59:59,9.61040808,306,1118715,5.3786961,"FUELBTC"
2017-11-27 03:00:00,4.93e-06,5e-06,4.56e-06,4.88e-06,1460628,2017-11-27 06:59:59,7.07167877,202,788132,3.82043346,"FUELBTC"
2017-11-27 07:00:00,4.9e-06,5.48e-06,4.56e-06,4.8e-06,2015530,2017-11-27 10:59:59,9.7460196,222,706389,3.45342599,"FUELBTC"
2017-11-27 11:00:00,4.8e-06,4.95e-06,4.7e-06,4.8e-06,266615,2017-11-27 14:59:59,1.27818926,68,144604,0.69867279,"FUELBTC"
2017-11-27 15:00:00,4.79e-06,4.85e-06,4.51e-06,4.59e-06,655976,2017-11-27 18:59:59,3.04412977,113,119130,0.56289998,"FUELBTC"
2017-11-27 19:00:00,4.59e-06,4.79e-06,4.47e-06,4.49e-06,1687646,2017-11-27 22:59:59,7.72976582,206,503061,2.32014559,"FUELBTC"
2017-11-27 23:00:00,4.52e-06,4.85e-06,4.08e-06,4.58e-06,2329781,2017-11-28 02:59:59,10.51501917,238,861261,4.02626944,"FUELBTC"
2017-11-28 03:00:00,4.54e-06,4.54e-06,4.08e-06,4.2e-06,371237,2017-11-28 06:59:59,1.58362697,78,52983,0.23139619,"FUELBTC"
2017-11-28 07:00:00,4.2e-06,4.3e-06,4.01e-06,4.17e-06,1219544,2017-11-28 10:59:59,5.05421794,135,582043,2.44113106,"FUELBTC"
2017-11-28 11:00:00,4.2e-06,4.39e-06,3.88e-06,4.1e-06,1777946,2017-11-28 14:59:59,7.28692605,167,582773,2.41545161,"FUELBTC"
2017-11-28 15:00:00,4.14e-06,4.22e-06,3.93e-06,4.12e-06,1034195,2017-11-28 18:59:59,4.17625532,96,285701,1.1769446,"FUELBTC"
