"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-10-31 04:00:00,6.211e-05,6.504e-05,6.06e-05,6.06e-05,65048,2017-10-31 07:59:59,4.09011781,21,21180,1.34811231,"FUNETH"
2017-10-31 08:00:00,6.06e-05,6.104e-05,5.7e-05,6.104e-05,267915,2017-10-31 11:59:59,15.76958175,29,47231,2.86951111,"FUNETH"
2017-10-31 12:00:00,6.001e-05,6.011e-05,5.752e-05,5.752e-05,226134,2017-10-31 15:59:59,13.39370321,46,41872,2.46841448,"FUNETH"
2017-10-31 16:00:00,5.785e-05,6.37e-05,5.785e-05,6.338e-05,16062,2017-10-31 19:59:59,0.97837332,17,12862,0.79052782,"FUNETH"
2017-10-31 20:00:00,6.003e-05,6.003e-05,5.7e-05,5.7e-05,84958,2017-10-31 23:59:59,4.89601307,24,10502,0.61033106,"FUNETH"
2017-11-01 00:00:00,5.673e-05,5.781e-05,5.673e-05,5.781e-05,53177,2017-11-01 03:59:59,3.07084677,12,1201,0.06942873,"FUNETH"
2017-11-01 04:00:00,5.781e-05,5.781e-05,5.4e-05,5.4e-05,579541,2017-11-01 07:59:59,32.17740923,93,445,0.02572545,"FUNETH"
2017-11-01 08:00:00,5.4e-05,5.8e-05,5.303e-05,5.303e-05,185624,2017-11-01 11:59:59,10.10951028,42,131367,7.15820405,"FUNETH"
2017-11-01 12:00:00,5.34e-05,5.34e-05,5.302e-05,5.302e-05,59930,2017-11-01 15:59:59,3.18158262,20,7384,0.39149968,"FUNETH"
2017-11-01 16:00:00,5.614e-05,5.961e-05,5.429e-05,5.429e-05,73120,2017-11-01 19:59:59,4.11133909,25,9469,0.55141531,"FUNETH"
2017-11-01 20:00:00,5.351e-05,5.659e-05,5e-05,5.05e-05,737899,2017-11-01 23:59:59,37.97617896,117,475684,24.32779011,"FUNETH"
2017-11-02 00:00:00,4.983e-05,5.603e-05,4.903e-05,5.255e-05,648329,2017-11-02 03:59:59,33.24547941,74,563670,28.9598537,"FUNETH"
2017-11-02 04:00:00,5.255e-05,5.255e-05,4.901e-05,5.155e-05,218557,2017-11-02 07:59:59,11.23830881,47,198188,10.21460693,"FUNETH"
2017-11-02 08:00:00,5.156e-05,6.1e-05,5.038e-05,5.401e-05,272463,2017-11-02 11:59:59,14.88989255,36,127461,7.38465068,"FUNETH"
2017-11-02 12:00:00,5.898e-05,6.35e-05,5.898e-05,6e-05,135258,2017-11-02 15:59:59,8.37062004,28,133592,8.27066004,"FUNETH"
2017-11-02 16:00:00,6.139e-05,6.139e-05,5.532e-05,5.651e-05,23568,2017-11-02 19:59:59,1.31229483,8,1101,0.06271039,"FUNETH"
2017-11-02 20:00:00,5.534e-05,5.806e-05,5.532e-05,5.806e-05,32088,2017-11-02 23:59:59,1.78042132,10,1381,0.07982468,"FUNETH"
2017-11-03 00:00:00,5.234e-05,5.235e-05,5.11e-05,5.201e-05,144928,2017-11-03 03:59:59,7.55263804,18,45441,2.36310093,"FUNETH"
2017-11-03 04:00:00,5.221e-05,5.999e-05,5.221e-05,5.895e-05,189755,2017-11-03 07:59:59,10.34719936,27,33291,1.90910293,"FUNETH"
2017-11-03 08:00:00,5.894e-05,5.894e-05,5.409e-05,5.409e-05,628,2017-11-03 11:59:59,0.03549142,2,314,0.01850716,"FUNETH"
2017-11-03 12:00:00,5.431e-05,5.432e-05,5.23e-05,5.23e-05,101894,2017-11-03 15:59:59,5.52211695,23,0,0,"FUNETH"
2017-11-03 16:00:00,5.23e-05,5.408e-05,5.1e-05,5.1e-05,190515,2017-11-03 19:59:59,10.2414654,27,19262,1.04168668,"FUNETH"
2017-11-03 20:00:00,5.431e-05,5.551e-05,5.431e-05,5.551e-05,103295,2017-11-03 23:59:59,5.70781528,12,94720,5.23198853,"FUNETH"
2017-11-04 00:00:00,5.5e-05,5.62e-05,5.5e-05,5.62e-05,113056,2017-11-04 03:59:59,6.28722728,11,113056,6.28722728,"FUNETH"
2017-11-04 04:00:00,5.399e-05,5.399e-05,5.325e-05,5.33e-05,150790,2017-11-04 07:59:59,8.06425355,11,150305,8.03840305,"FUNETH"
2017-11-04 08:00:00,5.62e-05,5.62e-05,5.3e-05,5.3e-05,175368,2017-11-04 11:59:59,9.5293668,23,53156,2.98446428,"FUNETH"
2017-11-04 12:00:00,5.4e-05,5.4e-05,5.4e-05,5.4e-05,1000,2017-11-04 15:59:59,0.054,2,2,0.000108,"FUNETH"
2017-11-04 16:00:00,5.602e-05,5.62e-05,5.602e-05,5.62e-05,7705,2017-11-04 19:59:59,0.43210299,3,7705,0.43210299,"FUNETH"
2017-11-04 20:00:00,5.3e-05,5.575e-05,5.3e-05,5.575e-05,73717,2017-11-04 23:59:59,4.07673976,8,69159,3.83204236,"FUNETH"
2017-11-05 00:00:00,5.303e-05,5.51e-05,5.167e-05,5.167e-05,137825,2017-11-05 02:59:59,7.28172498,62,0,0,"FUNETH"
2017-11-05 03:00:00,5.225e-05,5.397e-05,5.225e-05,5.382e-05,61073,2017-11-05 06:59:59,3.2922586,10,58789,3.16928804,"FUNETH"
