"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-10-31 04:00:00,0.0035719,0.0035719,0.0035719,0.0035719,152,2017-10-31 07:59:59,0.5429288,2,152,0.5429288,"ICNETH"
2017-10-31 08:00:00,0.003572,0.003608,0.0034712,0.0034712,5833,2017-10-31 11:59:59,20.8746356,25,704,2.5328016,"ICNETH"
2017-10-31 12:00:00,0.0034711,0.0034711,0.00328,0.00328,2089,2017-10-31 15:59:59,6.9440299,10,40,0.138844,"ICNETH"
2017-10-31 16:00:00,0.003313,0.003379,0.00328,0.003379,1796,2017-10-31 19:59:59,5.96018,13,1000,3.3394,"ICNETH"
2017-10-31 20:00:00,0.003346,0.003346,0.003062,0.00315,2651,2017-10-31 23:59:59,8.5077402,13,0,0,"ICNETH"
2017-11-01 00:00:00,0.003169,0.003169,0.003169,0.003169,20,2017-11-01 03:59:59,0.06338,1,0,0,"ICNETH"
2017-11-01 04:00:00,0.00315,0.0034712,0.003062,0.00315,4687,2017-11-01 07:59:59,14.9100807,46,2101,6.7501213,"ICNETH"
2017-11-01 08:00:00,0.0030621,0.00315,0.003062,0.0031185,1256,2017-11-01 11:59:59,3.871986,8,101,0.31815,"ICNETH"
2017-11-01 12:00:00,0.0031185,0.0034879,0.003062,0.0034879,6108,2017-11-01 15:59:59,19.527272,29,2303,7.5314456,"ICNETH"
2017-11-01 16:00:00,0.0032133,0.0032454,0.0031815,0.0032454,1425,2017-11-01 19:59:59,4.5726525,18,825,2.6573925,"ICNETH"
2017-11-01 20:00:00,0.0032454,0.0032454,0.0032454,0.0032454,0,2017-11-01 23:59:59,0,0,0,0,"ICNETH"
2017-11-02 00:00:00,0.0032454,0.0033517,0.0029213,0.0033517,11709,2017-11-02 03:59:59,36.1691756,27,2203,7.0059917,"ICNETH"
2017-11-02 04:00:00,0.0033483,0.0035884,0.0032134,0.0032134,5027,2017-11-02 07:59:59,16.9079584,17,4207,14.2124714,"ICNETH"
2017-11-02 08:00:00,0.0032134,0.0032454,0.0027001,0.0032454,8446,2017-11-02 11:59:59,26.5759565,46,3315,10.5238975,"ICNETH"
2017-11-02 12:00:00,0.0032454,0.0032454,0.0032454,0.0032454,0,2017-11-02 15:59:59,0,0,0,0,"ICNETH"
2017-11-02 16:00:00,0.0032454,0.0034184,0.0031223,0.0034184,4795,2017-11-02 19:59:59,15.4275953,38,2241,7.3422168,"ICNETH"
2017-11-02 20:00:00,0.0032134,0.0033478,0.0032134,0.0033478,78,2017-11-02 23:59:59,0.2538708,2,24,0.0803472,"ICNETH"
