"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-11-23 19:00:00,1.5e-06,6.41e-06,1.5e-06,1.88e-06,25949773,2017-11-23 22:59:59,58.14239553,1107,10067309,22.66151503,"MANABTC"
2017-11-23 23:00:00,1.78e-06,2.04e-06,1.76e-06,1.86e-06,11715608,2017-11-24 02:59:59,22.21307865,630,6743345,12.93820951,"MANABTC"
2017-11-24 03:00:00,1.86e-06,2.59e-06,1.72e-06,2.1e-06,25968809,2017-11-24 06:59:59,56.03294891,987,13607033,29.06752274,"MANABTC"
2017-11-24 07:00:00,2.1e-06,2.16e-06,1.8e-06,1.93e-06,14241369,2017-11-24 10:59:59,28.77407457,640,5050224,10.44061317,"MANABTC"
2017-11-24 11:00:00,1.94e-06,2.05e-06,1.91e-06,1.98e-06,4953839,2017-11-24 14:59:59,9.86161093,623,2814108,5.62382502,"MANABTC"
2017-11-24 15:00:00,1.98e-06,1.99e-06,1.86e-06,1.88e-06,3686532,2017-11-24 18:59:59,7.04638424,202,1654159,3.17583758,"MANABTC"
2017-11-24 19:00:00,1.89e-06,2.04e-06,1.87e-06,1.94e-06,3787957,2017-11-24 22:59:59,7.27296544,193,1080909,2.11440302,"MANABTC"
2017-11-24 23:00:00,1.91e-06,2.05e-06,1.87e-06,1.95e-06,4875106,2017-11-25 02:59:59,9.4994622,211,1682872,3.27927536,"MANABTC"
2017-11-25 03:00:00,1.96e-06,1.96e-06,1.87e-06,1.92e-06,3247998,2017-11-25 06:59:59,6.1985946,148,913525,1.73938654,"MANABTC"
2017-11-25 07:00:00,1.92e-06,1.92e-06,1.7e-06,1.79e-06,3717339,2017-11-25 10:59:59,6.65371231,366,1660793,2.99610861,"MANABTC"
2017-11-25 11:00:00,1.79e-06,1.85e-06,1.75e-06,1.81e-06,884769,2017-11-25 14:59:59,1.60187235,132,520437,0.94533161,"MANABTC"
2017-11-25 15:00:00,1.81e-06,1.85e-06,1.75e-06,1.76e-06,1105722,2017-11-25 18:59:59,1.99040031,78,574378,1.03780782,"MANABTC"
2017-11-25 19:00:00,1.78e-06,1.84e-06,1.7e-06,1.71e-06,1911499,2017-11-25 22:59:59,3.3228784,155,407489,0.72260314,"MANABTC"
2017-11-25 23:00:00,1.74e-06,1.78e-06,1.69e-06,1.74e-06,1412820,2017-11-26 02:59:59,2.45343629,125,825375,1.44336178,"MANABTC"
2017-11-26 03:00:00,1.74e-06,1.74e-06,1.69e-06,1.72e-06,1064837,2017-11-26 06:59:59,1.83204966,116,717180,1.23912873,"MANABTC"
2017-11-26 07:00:00,1.72e-06,1.74e-06,1.64e-06,1.64e-06,2564833,2017-11-26 10:59:59,4.32073109,175,885430,1.48665584,"MANABTC"
2017-11-26 11:00:00,1.66e-06,1.77e-06,1.65e-06,1.71e-06,2031654,2017-11-26 14:59:59,3.37312816,103,147264,0.25044495,"MANABTC"
2017-11-26 15:00:00,1.67e-06,1.75e-06,1.65e-06,1.68e-06,785317,2017-11-26 18:59:59,1.31989348,101,191575,0.32807473,"MANABTC"
2017-11-26 19:00:00,1.69e-06,1.75e-06,1.55e-06,1.66e-06,2696219,2017-11-26 22:59:59,4.4806628,128,240194,0.4057764,"MANABTC"
2017-11-26 23:00:00,1.55e-06,1.68e-06,1.55e-06,1.61e-06,512701,2017-11-27 02:59:59,0.83854612,70,125286,0.2057091,"MANABTC"
2017-11-27 03:00:00,1.61e-06,1.9e-06,1.6e-06,1.83e-06,15055923,2017-11-27 06:59:59,26.74241036,795,7876019,14.04225458,"MANABTC"
2017-11-27 07:00:00,1.83e-06,1.89e-06,1.65e-06,1.86e-06,8380023,2017-11-27 10:59:59,15.16895056,429,3806462,6.99957774,"MANABTC"
2017-11-27 11:00:00,1.86e-06,1.89e-06,1.74e-06,1.85e-06,5474466,2017-11-27 14:59:59,10.07207158,236,1370945,2.5447616,"MANABTC"
2017-11-27 15:00:00,1.83e-06,1.85e-06,1.72e-06,1.75e-06,3004908,2017-11-27 18:59:59,5.42259194,209,908256,1.63673988,"MANABTC"
2017-11-27 19:00:00,1.76e-06,1.94e-06,1.75e-06,1.9e-06,11925203,2017-11-27 22:59:59,22.14038737,608,5729924,10.63781167,"MANABTC"
2017-11-27 23:00:00,1.9e-06,1.98e-06,1.81e-06,1.87e-06,7507180,2017-11-28 02:59:59,14.28800972,400,3738211,7.14996527,"MANABTC"
2017-11-28 03:00:00,1.88e-06,1.88e-06,1.7e-06,1.76e-06,4692841,2017-11-28 06:59:59,8.45507805,320,2869495,5.20896782,"MANABTC"
2017-11-28 07:00:00,1.76e-06,1.81e-06,1.66e-06,1.76e-06,4604195,2017-11-28 10:59:59,7.86985246,274,2392432,4.12211426,"MANABTC"
2017-11-28 11:00:00,1.76e-06,1.89e-06,1.74e-06,1.83e-06,8232017,2017-11-28 14:59:59,15.10262159,420,5873307,10.80203506,"MANABTC"
2017-11-28 15:00:00,1.83e-06,1.85e-06,1.72e-06,1.82e-06,2071468,2017-11-28 18:59:59,3.73175216,139,959829,1.74430835,"MANABTC"
2017-11-28 19:00:00,1.84e-06,1.84e-06,1.71e-06,1.71e-06,4031148,2017-11-28 22:59:59,7.15986304,222,1885018,3.39503486,"MANABTC"
2017-11-28 23:00:00,1.72e-06,1.73e-06,1.55e-06,1.66e-06,3534065,2017-11-29 02:59:59,5.89985586,243,1835624,3.07424986,"MANABTC"
2017-11-29 03:00:00,1.66e-06,1.67e-06,1.6e-06,1.6e-06,4723526,2017-11-29 06:59:59,7.66548844,307,1865240,3.05855042,"MANABTC"
2017-11-29 07:00:00,1.6e-06,1.65e-06,1.46e-06,1.55e-06,2871815,2017-11-29 10:59:59,4.53996933,291,1529532,2.43781256,"MANABTC"
2017-11-29 11:00:00,1.55e-06,1.62e-06,1.5e-06,1.59e-06,1766393,2017-11-29 14:59:59,2.75158884,188,1079817,1.68242273,"MANABTC"
2017-11-29 15:00:00,1.55e-06,1.59e-06,1.47e-06,1.53e-06,991128,2017-11-29 18:59:59,1.50184006,146,755190,1.14319132,"MANABTC"
2017-11-29 19:00:00,1.51e-06,1.62e-06,1.5e-06,1.53e-06,3672115,2017-11-29 22:59:59,5.72414453,203,2603662,4.07120023,"MANABTC"
2017-11-29 23:00:00,1.54e-06,1.54e-06,1.44e-06,1.54e-06,4013527,2017-11-30 02:59:59,5.96748989,197,1916552,2.82308911,"MANABTC"
2017-11-30 03:00:00,1.53e-06,1.55e-06,1.48e-06,1.5e-06,1821526,2017-11-30 06:59:59,2.76488004,112,1496960,2.27914615,"MANABTC"
2017-11-30 07:00:00,1.51e-06,1.54e-06,1.46e-06,1.49e-06,3140630,2017-11-30 10:59:59,4.7201374,187,2473978,3.72448598,"MANABTC"
2017-11-30 11:00:00,1.5e-06,1.57e-06,1.49e-06,1.52e-06,1135931,2017-11-30 14:59:59,1.74234024,60,711475,1.10746728,"MANABTC"
2017-11-30 15:00:00,1.52e-06,1.56e-06,1.5e-06,1.54e-06,1225992,2017-11-30 18:59:59,1.8738113,76,702093,1.07593595,"MANABTC"
2017-11-30 19:00:00,1.54e-06,1.57e-06,1.49e-06,1.51e-06,3421114,2017-11-30 22:59:59,5.17730714,191,1791722,2.7324891,"MANABTC"
