"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-12-21 23:00:00,0.71,4.95,0.71,1.5,1527.5,2017-12-22 02:59:59,3654.0744956,111,816.8,1900.3679583,"NEBLBNB"
2017-12-22 03:00:00,1.60206,2.50999,1.60101,2.00002,1212.86,2017-12-22 06:59:59,2432.3497566,160,356.87,708.7098123,"NEBLBNB"
2017-12-22 07:00:00,2.00004,4.35888,1.115,1.4,5151.01,2017-12-22 10:59:59,10106.0089526,296,2147.41,4140.9946411,"NEBLBNB"
2017-12-22 11:00:00,1.4001,1.80168,0.00051,1.74999,4662.31,2017-12-22 14:59:59,4235.0847839,191,1119.83,1970.9862337,"NEBLBNB"
2017-12-22 15:00:00,1.74999,1.77994,1.60016,1.66101,1570.58,2017-12-22 18:59:59,2633.3943097,124,865.35,1457.822308,"NEBLBNB"
2017-12-22 19:00:00,1.66305,1.91,1.66305,1.89,1506.18,2017-12-22 22:59:59,2738.8515997,152,1212.36,2222.7304681,"NEBLBNB"
2017-12-22 23:00:00,1.80179,2.08,1.7,1.71347,2045.17,2017-12-23 02:59:59,3859.4013849,228,1224.67,2345.2072234,"NEBLBNB"
2017-12-23 03:00:00,1.71347,2.079,1.15,1.82715,1478.4,2017-12-23 06:59:59,2377.0722236,111,359.78,637.6815342,"NEBLBNB"
2017-12-23 07:00:00,1.71928,1.76,1.50064,1.69785,665.17,2017-12-23 10:59:59,1076.3307925,47,251.21,419.9038795,"NEBLBNB"
2017-12-23 11:00:00,1.69129,1.69129,1.55071,1.65,1404.56,2017-12-23 14:59:59,2250.4847828,70,360.85,593.5102937,"NEBLBNB"
2017-12-23 15:00:00,1.66,1.75706,1.55101,1.63691,777.46,2017-12-23 18:59:59,1284.3115956,89,369.42,629.9859476,"NEBLBNB"
2017-12-23 19:00:00,1.53,1.634,1.45,1.45004,1108.18,2017-12-23 22:59:59,1713.2059583,35,997.32,1533.7654735,"NEBLBNB"
2017-12-23 23:00:00,1.45004,1.62,1.45004,1.62,15.76,2017-12-24 02:59:59,25.293256,8,10.69,17.079856,"NEBLBNB"
2017-12-24 03:00:00,1.45072,1.61255,1.40002,1.40002,7.6,2017-12-24 06:59:59,11.3083903,6,2,3.2251,"NEBLBNB"
2017-12-24 07:00:00,1.40003,1.40003,1.23793,1.32002,470.17,2017-12-24 10:59:59,618.2084561,39,203.91,267.6705517,"NEBLBNB"
2017-12-24 11:00:00,1.32005,1.33,1.26079,1.31899,403.18,2017-12-24 14:59:59,531.7804144,36,186.67,246.041442,"NEBLBNB"
