"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-11-19 19:00:00,24,100,24,28.5,33.531,2017-11-19 22:59:59,1650.231,9,24.587,1099.708,"NEOBNB"
2017-11-19 23:00:00,27.4,27.9,24.703,25.201,372.041,2017-11-20 02:59:59,9684.583694,70,326.95,8512.596286,"NEOBNB"
2017-11-20 03:00:00,25.93,26.5,24.502,25.4,336.19,2017-11-20 06:59:59,8554.337619,61,171.414,4439.651226,"NEOBNB"
2017-11-20 07:00:00,25.4,26.5,24.801,25,635.769,2017-11-20 10:59:59,16314.373245,80,274.497,7123.854066,"NEOBNB"
2017-11-20 11:00:00,25.998,25.998,22.137,24,2519.29,2017-11-20 14:59:59,59848.47746,116,371.157,8719.064879,"NEOBNB"
2017-11-20 15:00:00,24.349,24.349,22,22,439.755,2017-11-20 18:59:59,9835.97179,86,31.841,737.708393,"NEOBNB"
2017-11-20 19:00:00,22.499,23.1,21.28,22.6,1059.975,2017-11-20 22:59:59,23515.900629,97,298.862,6672.066858,"NEOBNB"
2017-11-20 23:00:00,21.405,23.5,21.35,22.6,513.942,2017-11-21 02:59:59,11397.960166,44,321.729,7185.204442,"NEOBNB"
2017-11-21 03:00:00,22.6,23.899,22,22.314,276.486,2017-11-21 06:59:59,6185.981611,30,81.856,1852.779661,"NEOBNB"
2017-11-21 07:00:00,22.314,23,22,22.4,512.162,2017-11-21 10:59:59,11602.276456,38,83.198,1913.175649,"NEOBNB"
2017-11-21 11:00:00,22.399,22.4,21.503,22.398,145.281,2017-11-21 14:59:59,3184.496268,25,26.002,577.88071,"NEOBNB"
2017-11-21 15:00:00,21.544,22.399,21.5,21.5,47.481,2017-11-21 18:59:59,1034.156083,16,10.669,238.973931,"NEOBNB"
2017-11-21 19:00:00,21.501,22.399,21.501,22.399,16.469,2017-11-21 22:59:59,366.833143,10,6.464,144.593588,"NEOBNB"
2017-11-21 23:00:00,22.299,23.6,21.516,22.506,286.676,2017-11-22 02:59:59,6558.547314,62,122.428,2843.051088,"NEOBNB"
2017-11-22 03:00:00,22.507,23,21.91,23,222.113,2017-11-22 06:59:59,5005.214514,25,64.279,1478.231167,"NEOBNB"
2017-11-22 07:00:00,23,23.194,22.873,22.885,24.08,2017-11-22 10:59:59,553.243821,21,10.538,241.945953,"NEOBNB"
2017-11-22 11:00:00,22.885,24,22.674,22.674,314.002,2017-11-22 14:59:59,7237.020648,53,64.69,1526.64246,"NEOBNB"
2017-11-22 15:00:00,22.676,23.089,22.191,22.191,243.35,2017-11-22 18:59:59,5422.503788,46,71.591,1594.399076,"NEOBNB"
2017-11-22 19:00:00,22.192,22.91,22.191,22.223,72.734,2017-11-22 22:59:59,1654.438166,18,3.956,90.610143,"NEOBNB"
2017-11-22 23:00:00,22.223,22.91,22.212,22.213,189.074,2017-11-23 02:59:59,4268.332944,24,71.054,1627.343881,"NEOBNB"
2017-11-23 03:00:00,22.999,22.999,21.501,21.51,144.183,2017-11-23 06:59:59,3161.510211,50,14.496,321.286202,"NEOBNB"
2017-11-23 07:00:00,22,22.69,21.6,21.6,100.234,2017-11-23 10:59:59,2201.761916,21,2.616,57.828728,"NEOBNB"
2017-11-23 11:00:00,21.6,23,21.6,22.003,129.845,2017-11-23 14:59:59,2955.648969,25,127.843,2912.404161,"NEOBNB"
2017-11-23 15:00:00,22.999,23,22.02,22.25,351.084,2017-11-23 18:59:59,7767.818475,16,187.572,4131.167637,"NEOBNB"
2017-11-23 19:00:00,22.002,23,21.6,22,158.77,2017-11-23 22:59:59,3486.765765,32,27.454,616.630546,"NEOBNB"
2017-11-23 23:00:00,21.852,22,21.5,21.5,250.586,2017-11-24 02:59:59,5434.302367,51,84.239,1851.650801,"NEOBNB"
2017-11-24 03:00:00,21.543,21.543,19.1,20.23,1328.205,2017-11-24 06:59:59,26707.943506,142,876.347,17534.750163,"NEOBNB"
2017-11-24 07:00:00,20.25,21.22,20.242,20.729,97.212,2017-11-24 10:59:59,2029.157354,47,65.781,1381.45735,"NEOBNB"
2017-11-24 11:00:00,20.809,21.265,20.626,21.265,229.929,2017-11-24 14:59:59,4819.341047,133,98.377,2073.198409,"NEOBNB"
2017-11-24 15:00:00,20.869,20.989,20,20,349.281,2017-11-24 18:59:59,7231.683462,124,173.547,3631.620918,"NEOBNB"
