"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-11-20 03:00:00,6.8e-07,1.7e-06,6.8e-07,9.9e-07,76268750,2017-11-20 06:59:59,95.88960216,1693,24349560,31.09247781,"POEBTC"
2017-11-20 07:00:00,9.8e-07,1.1e-06,8.5e-07,9.9e-07,45736381,2017-11-20 10:59:59,45.99585811,836,22191457,22.75514794,"POEBTC"
2017-11-20 11:00:00,1.02e-06,1.05e-06,9.6e-07,1.01e-06,13412989,2017-11-20 14:59:59,13.28689535,328,3946386,3.97548334,"POEBTC"
2017-11-20 15:00:00,1.01e-06,1.1e-06,9.3e-07,9.8e-07,15049577,2017-11-20 18:59:59,15.22343363,321,8248722,8.47159645,"POEBTC"
2017-11-20 19:00:00,9.7e-07,1e-06,8.3e-07,8.7e-07,21134429,2017-11-20 22:59:59,19.49419981,405,10707671,9.98483019,"POEBTC"
2017-11-20 23:00:00,9e-07,9.4e-07,8.1e-07,8.4e-07,9581299,2017-11-21 02:59:59,8.21244259,198,4587745,3.9903225,"POEBTC"
2017-11-21 03:00:00,8.5e-07,8.5e-07,7.6e-07,7.9e-07,8401596,2017-11-21 06:59:59,6.72694483,165,2543312,2.0614046,"POEBTC"
2017-11-21 07:00:00,7.9e-07,8.6e-07,7.9e-07,8.2e-07,4372228,2017-11-21 10:59:59,3.58906973,166,1949909,1.62317794,"POEBTC"
2017-11-21 11:00:00,8.1e-07,8.9e-07,7.8e-07,8.9e-07,5656726,2017-11-21 14:59:59,4.67889373,178,3121039,2.61837606,"POEBTC"
2017-11-21 15:00:00,8.9e-07,9.1e-07,8.1e-07,8.3e-07,2186879,2017-11-21 18:59:59,1.84995614,95,807866,0.69091009,"POEBTC"
2017-11-21 19:00:00,8.3e-07,9e-07,8.3e-07,8.5e-07,2693674,2017-11-21 22:59:59,2.28947286,76,1849645,1.57518334,"POEBTC"
2017-11-21 23:00:00,8.5e-07,9.2e-07,8.3e-07,8.6e-07,6404717,2017-11-22 02:59:59,5.50192415,120,3051630,2.64705663,"POEBTC"
2017-11-22 03:00:00,8.6e-07,9.7e-07,8.4e-07,9.6e-07,5080521,2017-11-22 06:59:59,4.43085685,145,2136630,1.89941058,"POEBTC"
2017-11-22 07:00:00,9.2e-07,9.6e-07,8.7e-07,8.8e-07,3869382,2017-11-22 10:59:59,3.4743095,91,1215851,1.08447399,"POEBTC"
2017-11-22 11:00:00,9.2e-07,1.01e-06,8.4e-07,1.01e-06,9142539,2017-11-22 14:59:59,8.73654958,148,7856777,7.569314,"POEBTC"
2017-11-22 15:00:00,1.02e-06,1.03e-06,8.3e-07,8.3e-07,10100719,2017-11-22 18:59:59,9.20936916,141,4300484,3.98717747,"POEBTC"
2017-11-22 19:00:00,8.8e-07,1.06e-06,8.8e-07,9.8e-07,9490529,2017-11-22 22:59:59,9.62791803,175,6122776,6.1754941,"POEBTC"
