"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-10-31 04:00:00,4.7e-07,4.8e-07,4.3e-07,4.5e-07,18611543,2017-10-31 07:59:59,8.38396372,88,3785301,1.75281035,"TRXBTC"
2017-10-31 08:00:00,4.5e-07,4.6e-07,4.3e-07,4.4e-07,12104456,2017-10-31 11:59:59,5.44729368,108,5713873,2.58214594,"TRXBTC"
2017-10-31 12:00:00,4.6e-07,4.9e-07,4.4e-07,4.5e-07,9004621,2017-10-31 15:59:59,4.20497927,105,5287816,2.48740132,"TRXBTC"
2017-10-31 16:00:00,4.5e-07,4.5e-07,4.1e-07,4.1e-07,12333193,2017-10-31 19:59:59,5.30135133,54,4090200,1.77175358,"TRXBTC"
2017-10-31 20:00:00,4.2e-07,4.2e-07,3.9e-07,3.9e-07,4913489,2017-10-31 23:59:59,2.0147109,57,3136993,1.29883305,"TRXBTC"
2017-11-01 00:00:00,3.9e-07,4.2e-07,3.9e-07,3.9e-07,3722856,2017-11-01 03:59:59,1.48844642,60,1323497,0.53876581,"TRXBTC"
2017-11-01 04:00:00,3.9e-07,4e-07,3.7e-07,4e-07,4555084,2017-11-01 07:59:59,1.77743623,47,1762734,0.69095312,"TRXBTC"
2017-11-01 08:00:00,3.9e-07,4e-07,3.8e-07,3.9e-07,1178548,2017-11-01 11:59:59,0.45728663,30,817043,0.31923108,"TRXBTC"
2017-11-01 12:00:00,3.9e-07,4e-07,3.7e-07,4e-07,2472527,2017-11-01 15:59:59,0.93709189,51,882017,0.34065514,"TRXBTC"
2017-11-01 16:00:00,4e-07,4.1e-07,3.7e-07,3.7e-07,4061452,2017-11-01 19:59:59,1.58407595,70,1471271,0.59066106,"TRXBTC"
2017-11-01 20:00:00,3.7e-07,3.8e-07,3.5e-07,3.6e-07,5872708,2017-11-01 23:59:59,2.0994415,71,1650298,0.5967039,"TRXBTC"
2017-11-02 00:00:00,3.6e-07,3.7e-07,3.4e-07,3.4e-07,4756665,2017-11-02 03:59:59,1.67888379,45,1916357,0.70546956,"TRXBTC"
2017-11-02 04:00:00,3.4e-07,3.5e-07,2.6e-07,3.3e-07,36030384,2017-11-02 07:59:59,10.80755179,116,18787247,5.62022066,"TRXBTC"
2017-11-02 08:00:00,3.3e-07,3.6e-07,3.2e-07,3.5e-07,9852102,2017-11-02 11:59:59,3.32155544,135,1422751,0.49847906,"TRXBTC"
2017-11-02 12:00:00,3.5e-07,3.5e-07,3.3e-07,3.5e-07,4647523,2017-11-02 15:59:59,1.56755449,29,2639640,0.89348729,"TRXBTC"
2017-11-02 16:00:00,3.5e-07,3.5e-07,3.1e-07,3.4e-07,8299830,2017-11-02 19:59:59,2.66127946,26,534914,0.17505566,"TRXBTC"
2017-11-02 20:00:00,3.3e-07,3.5e-07,3.1e-07,3.1e-07,2419865,2017-11-02 23:59:59,0.80537496,29,1241706,0.42125601,"TRXBTC"
2017-11-03 00:00:00,3.1e-07,3.4e-07,3.1e-07,3.3e-07,4048557,2017-11-03 03:59:59,1.29564464,31,2143981,0.70393984,"TRXBTC"
2017-11-03 04:00:00,3.3e-07,3.3e-07,3e-07,3.2e-07,741591,2017-11-03 07:59:59,0.2305047,22,149329,0.04882943,"TRXBTC"
2017-11-03 08:00:00,3.2e-07,3.3e-07,2.9e-07,2.9e-07,19440359,2017-11-03 11:59:59,5.98848683,67,7073687,2.28871605,"TRXBTC"
2017-11-03 12:00:00,3e-07,3.3e-07,3e-07,3e-07,1833012,2017-11-03 15:59:59,0.56923454,58,819082,0.26096163,"TRXBTC"
2017-11-03 16:00:00,3e-07,3.3e-07,3e-07,3.2e-07,1782196,2017-11-03 19:59:59,0.57533114,21,988669,0.32532806,"TRXBTC"
2017-11-03 20:00:00,3.4e-07,3.4e-07,3.1e-07,3.2e-07,7521165,2017-11-03 23:59:59,2.45962906,71,2576383,0.8400789,"TRXBTC"
2017-11-04 00:00:00,3.2e-07,3.3e-07,3.1e-07,3.2e-07,1184313,2017-11-04 03:59:59,0.37873635,30,694700,0.222304,"TRXBTC"
2017-11-04 04:00:00,3.1e-07,3.2e-07,3.1e-07,3.2e-07,4705162,2017-11-04 07:59:59,1.47393156,33,1533134,0.49060288,"TRXBTC"
2017-11-04 08:00:00,3.2e-07,3.3e-07,3.1e-07,3.1e-07,7420208,2017-11-04 11:59:59,2.34830976,59,3271790,1.05078673,"TRXBTC"
2017-11-04 12:00:00,3.1e-07,3.1e-07,3.1e-07,3.1e-07,1008671,2017-11-04 15:59:59,0.31268801,21,705421,0.21868051,"TRXBTC"
2017-11-04 16:00:00,3.1e-07,3.1e-07,2.9e-07,2.9e-07,5146183,2017-11-04 19:59:59,1.52812232,36,533598,0.16541538,"TRXBTC"
2017-11-04 20:00:00,3e-07,3.4e-07,2.9e-07,3.2e-07,10139194,2017-11-04 23:59:59,3.18894046,71,7287870,2.31618485,"TRXBTC"
2017-11-05 00:00:00,3.1e-07,3.3e-07,3.1e-07,3.2e-07,5530462,2017-11-05 02:59:59,1.7477562,42,585421,0.18833469,"TRXBTC"
2017-11-05 03:00:00,3.2e-07,3.2e-07,3.1e-07,3.2e-07,4150448,2017-11-05 06:59:59,1.32063923,31,3400035,1.0880112,"TRXBTC"
2017-11-05 07:00:00,3.2e-07,3.2e-07,2.9e-07,3.1e-07,9250805,2017-11-05 10:59:59,2.82857832,41,1286715,0.40351738,"TRXBTC"
2017-11-05 11:00:00,2.9e-07,3e-07,2.9e-07,2.9e-07,1093697,2017-11-05 14:59:59,0.31784119,6,0,0,"TRXBTC"
2017-11-05 15:00:00,3.1e-07,3.2e-07,3e-07,3e-07,1320530,2017-11-05 18:59:59,0.41064333,30,1008128,0.31517015,"TRXBTC"
2017-11-05 19:00:00,3e-07,3.2e-07,3e-07,3.1e-07,6310072,2017-11-05 22:59:59,1.97317354,41,4605109,1.44526201,"TRXBTC"
2017-11-05 23:00:00,3.1e-07,3.2e-07,3e-07,3.1e-07,2306583,2017-11-06 02:59:59,0.70027633,29,224315,0.07046407,"TRXBTC"
2017-11-06 03:00:00,3.1e-07,3.2e-07,3e-07,3.2e-07,6153287,2017-11-06 06:59:59,1.89893673,52,2211079,0.70729723,"TRXBTC"
2017-11-06 07:00:00,3.2e-07,3.3e-07,3e-07,3.1e-07,6791460,2017-11-06 10:59:59,2.1305934,86,2342256,0.74782751,"TRXBTC"
2017-11-06 11:00:00,3e-07,3.3e-07,3e-07,3.2e-07,5222655,2017-11-06 14:59:59,1.61591069,69,1772203,0.56155841,"TRXBTC"
2017-11-06 15:00:00,3.3e-07,3.3e-07,3.1e-07,3.2e-07,2598494,2017-11-06 18:59:59,0.8130599,39,292558,0.09379819,"TRXBTC"
2017-11-06 19:00:00,3.2e-07,3.3e-07,3.1e-07,3.2e-07,9920235,2017-11-06 22:59:59,3.1728035,78,5620929,1.80798413,"TRXBTC"
2017-11-06 23:00:00,3.2e-07,3.3e-07,3.1e-07,3.2e-07,9109376,2017-11-07 02:59:59,2.8713082,81,2258107,0.72339849,"TRXBTC"
2017-11-07 03:00:00,3.3e-07,3.3e-07,3.1e-07,3.2e-07,12845568,2017-11-07 06:59:59,4.01707433,75,2365919,0.75840623,"TRXBTC"
2017-11-07 07:00:00,3.2e-07,3.3e-07,3.1e-07,3.2e-07,7756051,2017-11-07 10:59:59,2.4781743,78,4164460,1.33265808,"TRXBTC"
2017-11-07 11:00:00,3.2e-07,3.2e-07,3.1e-07,3.2e-07,4940487,2017-11-07 14:59:59,1.56324424,40,2606844,0.83419008,"TRXBTC"
