"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-11-06 23:00:00,2.51e-05,3.9e-05,2.51e-05,3.512e-05,261597,2017-11-07 02:59:59,9.29060918,442,126370,4.47944316,"VENBTC"
2017-11-07 03:00:00,3.532e-05,3.599e-05,3.257e-05,3.374e-05,253671,2017-11-07 06:59:59,8.60788423,161,134401,4.59634052,"VENBTC"
2017-11-07 07:00:00,3.378e-05,3.562e-05,3.265e-05,3.38e-05,109042,2017-11-07 10:59:59,3.71618054,115,55951,1.9081708,"VENBTC"
2017-11-07 11:00:00,3.383e-05,3.5e-05,3.36e-05,3.5e-05,84077,2017-11-07 14:59:59,2.86720988,71,11330,0.39481501,"VENBTC"
2017-11-07 15:00:00,3.5e-05,3.58e-05,3.36e-05,3.38e-05,157055,2017-11-07 18:59:59,5.36987043,99,20206,0.7069816,"VENBTC"
2017-11-07 19:00:00,3.4e-05,3.579e-05,3.094e-05,3.15e-05,291466,2017-11-07 22:59:59,9.67303558,149,74561,2.45533385,"VENBTC"
2017-11-07 23:00:00,3.183e-05,3.374e-05,3.05e-05,3.095e-05,199948,2017-11-08 02:59:59,6.30643902,102,38730,1.23398051,"VENBTC"
2017-11-08 03:00:00,3.096e-05,3.183e-05,2.904e-05,3e-05,127035,2017-11-08 06:59:59,3.89860574,95,50390,1.55090233,"VENBTC"
2017-11-08 07:00:00,3.081e-05,3.162e-05,2.9e-05,2.911e-05,178889,2017-11-08 10:59:59,5.22243543,42,20785,0.62411999,"VENBTC"
2017-11-08 11:00:00,3.016e-05,4.7e-05,2.802e-05,3.454e-05,1116232,2017-11-08 14:59:59,40.57064649,389,620078,22.48895093,"VENBTC"
2017-11-08 15:00:00,3.599e-05,3.987e-05,3.432e-05,3.432e-05,480347,2017-11-08 18:59:59,17.8609617,249,135511,5.21200186,"VENBTC"
2017-11-08 19:00:00,3.434e-05,3.663e-05,3.432e-05,3.594e-05,181314,2017-11-08 22:59:59,6.48582047,110,61388,2.19658157,"VENBTC"
2017-11-08 23:00:00,3.593e-05,3.629e-05,3.504e-05,3.556e-05,386198,2017-11-09 02:59:59,13.78176851,109,68022,2.42770228,"VENBTC"
2017-11-09 03:00:00,3.607e-05,3.999e-05,3.537e-05,3.999e-05,315522,2017-11-09 06:59:59,12.1117139,207,156100,6.0248318,"VENBTC"
2017-11-09 07:00:00,3.999e-05,3.999e-05,3.715e-05,3.797e-05,306214,2017-11-09 10:59:59,11.86150235,142,61545,2.44204886,"VENBTC"
2017-11-09 11:00:00,3.741e-05,3.99e-05,3.716e-05,3.94e-05,426713,2017-11-09 14:59:59,16.79809782,191,200942,7.89883833,"VENBTC"
2017-11-09 15:00:00,3.9e-05,3.9e-05,3.73e-05,3.788e-05,81342,2017-11-09 18:59:59,3.0725837,73,45181,1.71649418,"VENBTC"
2017-11-09 19:00:00,3.737e-05,3.789e-05,3.662e-05,3.75e-05,151456,2017-11-09 22:59:59,5.63577607,62,32820,1.23059832,"VENBTC"
2017-11-09 23:00:00,3.682e-05,3.766e-05,3.544e-05,3.544e-05,369635,2017-11-10 02:59:59,13.33625422,108,57529,2.0739348,"VENBTC"
2017-11-10 03:00:00,3.55e-05,3.689e-05,3.549e-05,3.684e-05,347348,2017-11-10 06:59:59,12.39140984,102,53314,1.93093758,"VENBTC"
2017-11-10 07:00:00,3.65e-05,3.683e-05,3.5e-05,3.5e-05,233409,2017-11-10 10:59:59,8.28403046,111,31630,1.14239411,"VENBTC"
2017-11-10 11:00:00,3.5e-05,3.749e-05,3.455e-05,3.51e-05,82104,2017-11-10 14:59:59,2.89318812,73,39430,1.39602493,"VENBTC"
2017-11-10 15:00:00,3.51e-05,3.699e-05,3.456e-05,3.687e-05,114707,2017-11-10 18:59:59,4.02785216,44,80143,2.81072934,"VENBTC"
2017-11-10 19:00:00,3.687e-05,3.689e-05,3.452e-05,3.524e-05,333243,2017-11-10 22:59:59,11.9507867,334,119933,4.31996314,"VENBTC"
2017-11-10 23:00:00,3.537e-05,3.835e-05,3.525e-05,3.82e-05,393421,2017-11-11 02:59:59,14.57934182,390,85179,3.15829914,"VENBTC"
2017-11-11 03:00:00,3.82e-05,3.934e-05,3.674e-05,3.879e-05,186390,2017-11-11 06:59:59,7.17944048,293,70185,2.70487852,"VENBTC"
2017-11-11 07:00:00,3.879e-05,3.98e-05,3.731e-05,3.778e-05,203978,2017-11-11 10:59:59,7.8366062,371,102050,3.93114975,"VENBTC"
2017-11-11 11:00:00,3.768e-05,3.926e-05,3.702e-05,3.795e-05,141638,2017-11-11 14:59:59,5.38851577,221,100862,3.84129331,"VENBTC"
2017-11-11 15:00:00,3.803e-05,3.887e-05,3.7e-05,3.778e-05,112300,2017-11-11 18:59:59,4.25172331,290,54168,2.05103468,"VENBTC"
2017-11-11 19:00:00,3.768e-05,3.885e-05,3.7e-05,3.753e-05,204227,2017-11-11 22:59:59,7.75204755,371,77294,2.92750013,"VENBTC"
2017-11-11 23:00:00,3.743e-05,3.97e-05,3.6e-05,3.6e-05,384678,2017-11-12 02:59:59,14.5244139,399,246734,9.352789,"VENBTC"
2017-11-12 03:00:00,3.729e-05,3.729e-05,3.305e-05,3.485e-05,681406,2017-11-12 06:59:59,23.95000521,568,314113,11.03050458,"VENBTC"
2017-11-12 07:00:00,3.505e-05,3.95e-05,3.186e-05,3.644e-05,748456,2017-11-12 10:59:59,26.1608851,1819,399932,14.22138845,"VENBTC"
2017-11-12 11:00:00,3.642e-05,3.709e-05,3.4e-05,3.413e-05,743081,2017-11-12 14:59:59,26.35409904,1750,342700,12.20187542,"VENBTC"
