"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-12-15 07:00:00,3.6,6.1105,3.5299,3.8048,7733.12,2017-12-15 10:59:59,36666.406428,400,2820.55,13386.851571,"WAVESBNB"
2017-12-15 11:00:00,3.8048,3.805,2.9529,3.0613,527.55,2017-12-15 14:59:59,1839.217912,73,202.14,723.032701,"WAVESBNB"
2017-12-15 15:00:00,3.1,3.6257,2.9634,2.9634,597.7,2017-12-15 18:59:59,2015.685914,73,303.47,1062.468558,"WAVESBNB"
2017-12-15 19:00:00,3.289,3.648,2.9466,3.2502,540.5,2017-12-15 22:59:59,1876.594075,47,218.13,751.790796,"WAVESBNB"
2017-12-15 23:00:00,3.2503,3.4605,3.0833,3.285,196.92,2017-12-16 02:59:59,652.386994,27,129.22,430.270447,"WAVESBNB"
2017-12-16 03:00:00,3.285,3.285,2.9476,2.9476,296.14,2017-12-16 06:59:59,933.635926,38,171.49,533.408614,"WAVESBNB"
2017-12-16 07:00:00,2.9506,3.2254,2.9475,2.9475,310.51,2017-12-16 10:59:59,953.062732,41,157.32,497.745658,"WAVESBNB"
2017-12-16 11:00:00,2.9475,3.2478,2.8375,2.9555,594.74,2017-12-16 14:59:59,1796.313745,58,176.35,554.048925,"WAVESBNB"
2017-12-16 15:00:00,2.9571,3.1644,2.6888,3.078,609.59,2017-12-16 18:59:59,1736.246034,67,175.46,537.244711,"WAVESBNB"
2017-12-16 19:00:00,2.9744,2.9744,2.5,2.5815,205.46,2017-12-16 22:59:59,568.304872,53,61.31,169.708162,"WAVESBNB"
2017-12-16 23:00:00,2.5815,2.651,2.3267,2.5652,227.84,2017-12-17 02:59:59,569.922488,28,196.91,494.056248,"WAVESBNB"
2017-12-17 03:00:00,2.5652,2.5652,2.012,2.1,221.6,2017-12-17 06:59:59,505.346485,39,70.89,164.132916,"WAVESBNB"
2017-12-17 07:00:00,2.0042,2.439,2.0042,2.199,470.46,2017-12-17 10:59:59,1077.310589,54,173.5,396.553065,"WAVESBNB"
2017-12-17 11:00:00,2.4179,2.4878,2.2022,2.2705,776.26,2017-12-17 14:59:59,1848.957365,43,129.42,314.654996,"WAVESBNB"
2017-12-17 15:00:00,2.4294,2.5391,2.2221,2.2221,700.65,2017-12-17 18:59:59,1732.229872,60,340.89,838.494389,"WAVESBNB"
2017-12-17 19:00:00,2.2221,2.5391,2.2221,2.5096,660.37,2017-12-17 22:59:59,1637.80053,47,396.25,987.373757,"WAVESBNB"
2017-12-17 23:00:00,2.5097,2.7242,2.3764,2.4258,382.73,2017-12-18 02:59:59,954.797901,39,130.82,340.026387,"WAVESBNB"
2017-12-18 03:00:00,2.4256,2.6549,2.2948,2.429,637.34,2017-12-18 06:59:59,1531.077724,70,327.19,785.511237,"WAVESBNB"
2017-12-18 07:00:00,2.6203,2.8767,2.4306,2.614,549.13,2017-12-18 10:59:59,1503.887468,61,421.15,1157.468108,"WAVESBNB"
2017-12-18 11:00:00,2.6912,3.1819,2.6912,2.75,1616.39,2017-12-18 14:59:59,4779.561178,150,1260.79,3744.532511,"WAVESBNB"
2017-12-18 15:00:00,2.75,2.9776,2.6088,2.6088,1011.62,2017-12-18 18:59:59,2876.83608,80,90.55,260.97455,"WAVESBNB"
2017-12-18 19:00:00,2.6659,2.8565,2.5,2.8565,881.85,2017-12-18 22:59:59,2376.401135,110,194.57,539.53195,"WAVESBNB"
2017-12-18 23:00:00,2.8508,2.8508,2.597,2.6301,1958.73,2017-12-19 02:59:59,5313.743981,128,295.31,809.960183,"WAVESBNB"
2017-12-19 03:00:00,2.6301,2.8713,2.47,2.4701,1293.54,2017-12-19 06:59:59,3512.986554,108,777.87,2198.600625,"WAVESBNB"
2017-12-19 07:00:00,2.7851,2.99,2.6,2.836,881.37,2017-12-19 10:59:59,2405.957822,78,333.82,942.537589,"WAVESBNB"
2017-12-19 11:00:00,2.8309,2.85,2.6951,2.8499,525.29,2017-12-19 14:59:59,1472.110401,64,214.75,604.165888,"WAVESBNB"
2017-12-19 15:00:00,2.8499,3.0697,2.6,2.9894,784.87,2017-12-19 18:59:59,2180.59349,94,355.9,1035.784451,"WAVESBNB"
2017-12-19 19:00:00,2.67,2.7743,2.2699,2.5,1838.72,2017-12-19 22:59:59,4587.126573,130,816.18,2107.911252,"WAVESBNB"
2017-12-19 23:00:00,2.5695,2.8102,2.5694,2.6925,1034.27,2017-12-20 02:59:59,2822.831661,79,741.01,2034.972439,"WAVESBNB"
2017-12-20 03:00:00,2.7947,3,2.7201,2.8111,1169.87,2017-12-20 06:59:59,3298.940596,121,557.19,1575.962362,"WAVESBNB"
2017-12-20 07:00:00,2.8207,3,2.7401,2.8002,1253.47,2017-12-20 10:59:59,3518.146504,106,88.03,253.930975,"WAVESBNB"
2017-12-20 11:00:00,2.8002,3.01,2.755,2.8804,621.39,2017-12-20 14:59:59,1798.74407,88,217.87,635.768791,"WAVESBNB"
2017-12-20 15:00:00,2.8806,3.01,2.8756,2.9964,1071.66,2017-12-20 18:59:59,3147.576233,142,363.85,1072.539066,"WAVESBNB"
2017-12-20 19:00:00,2.9964,3.156,2.86,2.9031,1764.79,2017-12-20 22:59:59,5234.118427,151,820.36,2429.408462,"WAVESBNB"
2017-12-20 23:00:00,2.9588,3.094,2.83,2.8804,2077.61,2017-12-21 02:59:59,6014.166488,180,177.18,526.139773,"WAVESBNB"
2017-12-21 03:00:00,2.8804,3.046,2.8797,2.8886,2259.94,2017-12-21 06:59:59,6735.582244,138,1244.9,3695.574248,"WAVESBNB"
