"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-10-31 04:00:00,0.00114889,0.001149,0.00102476,0.00103102,424393,2017-10-31 07:59:59,473.01366193,1368,290201,326.67386515,"WTCBTC"
2017-10-31 08:00:00,0.001032,0.0010511,0.000925,0.000973,654478,2017-10-31 11:59:59,635.61806665,3096,245122,238.38989205,"WTCBTC"
2017-10-31 12:00:00,0.000973,0.001013,0.00095111,0.000971,181470,2017-10-31 15:59:59,178.72205348,1141,99745,98.61496386,"WTCBTC"
2017-10-31 16:00:00,0.0009715,0.000998,0.00085448,0.0008615,235518,2017-10-31 19:59:59,220.54216231,1134,59407,56.10859831,"WTCBTC"
2017-10-31 20:00:00,0.000881,0.0009599,0.000784,0.00084425,491078,2017-10-31 23:59:59,420.98346705,2768,199937,173.12941967,"WTCBTC"
2017-11-01 00:00:00,0.00084402,0.00087601,0.00076421,0.00079996,321912,2017-11-01 03:59:59,261.31743593,1664,142626,116.35491274,"WTCBTC"
2017-11-01 04:00:00,0.000794,0.00083889,0.00077,0.00078915,328579,2017-11-01 07:59:59,260.54985112,1780,148815,118.2849963,"WTCBTC"
2017-11-01 08:00:00,0.00079398,0.00084898,0.0007888,0.00081413,231359,2017-11-01 11:59:59,188.31107985,1438,105934,86.39809865,"WTCBTC"
2017-11-01 12:00:00,0.00081,0.00083993,0.00079,0.000796,165230,2017-11-01 15:59:59,133.13808963,871,56448,45.90092504,"WTCBTC"
2017-11-01 16:00:00,0.000796,0.000818,0.00071,0.000713,216639,2017-11-01 19:59:59,167.53669898,1008,79208,62.11507908,"WTCBTC"
2017-11-01 20:00:00,0.000714,0.00074799,0.00063499,0.00069367,592523,2017-11-01 23:59:59,405.43056525,2625,306603,210.15476808,"WTCBTC"
2017-11-02 00:00:00,0.00068888,0.00072,0.00063806,0.00066,348803,2017-11-02 03:59:59,235.57453324,1219,221511,150.27719761,"WTCBTC"
2017-11-02 04:00:00,0.00065003,0.00071987,0.00053998,0.00060703,687596,2017-11-02 07:59:59,425.08845062,2862,314874,196.70767545,"WTCBTC"
2017-11-02 08:00:00,0.00060703,0.00065,0.000601,0.00061866,515227,2017-11-02 11:59:59,321.82611851,2005,260235,163.61879608,"WTCBTC"
2017-11-02 12:00:00,0.00061566,0.0007359,0.00061558,0.00066702,426816,2017-11-02 15:59:59,285.61187771,2048,225264,150.73113237,"WTCBTC"
2017-11-02 16:00:00,0.00067681,0.0006778,0.00062501,0.00065109,246952,2017-11-02 19:59:59,159.6438539,1221,79962,51.98281431,"WTCBTC"
2017-11-02 20:00:00,0.0006449,0.0006845,0.000621,0.00062799,291346,2017-11-02 23:59:59,187.44161983,1298,99254,64.49135827,"WTCBTC"
2017-11-03 00:00:00,0.000628,0.00064579,0.00059,0.00060499,340750,2017-11-03 03:59:59,210.78568634,1219,128815,80.76754717,"WTCBTC"
2017-11-03 04:00:00,0.00060499,0.000653,0.0005899,0.00063958,302747,2017-11-03 07:59:59,185.69107697,1311,106549,66.47742288,"WTCBTC"
2017-11-03 08:00:00,0.00063963,0.00078999,0.000625,0.000657,571634,2017-11-03 11:59:59,395.18518463,2674,291823,203.6380595,"WTCBTC"
2017-11-03 12:00:00,0.00065689,0.0006959,0.00064153,0.00066941,182304,2017-11-03 15:59:59,121.10352643,1046,86893,57.77975068,"WTCBTC"
2017-11-03 16:00:00,0.00066941,0.0006951,0.00066024,0.0006854,156104,2017-11-03 19:59:59,106.2152206,881,73488,50.06889675,"WTCBTC"
2017-11-03 20:00:00,0.00068839,0.00071998,0.00068001,0.00068204,244934,2017-11-03 23:59:59,171.99266102,1121,125949,88.45537301,"WTCBTC"
2017-11-04 00:00:00,0.00068204,0.00074231,0.00068,0.000723,206344,2017-11-04 03:59:59,147.31079402,968,120896,87.0632401,"WTCBTC"
2017-11-04 04:00:00,0.00072061,0.0007595,0.000711,0.00075105,180590,2017-11-04 07:59:59,133.96070374,1016,97196,72.4389187,"WTCBTC"
2017-11-04 08:00:00,0.00074948,0.0007499,0.00069256,7e-04,221903,2017-11-04 11:59:59,158.437932,1276,71176,50.81144647,"WTCBTC"
2017-11-04 12:00:00,0.000698,0.000708,0.00066,0.00066999,165476,2017-11-04 15:59:59,114.19495372,764,55024,38.29458601,"WTCBTC"
2017-11-04 16:00:00,0.000667,0.00069999,0.00064,0.00068462,208843,2017-11-04 19:59:59,138.85881754,1060,90911,60.8594227,"WTCBTC"
2017-11-04 20:00:00,0.00069168,0.00069398,0.000669,0.00068201,104307,2017-11-04 23:59:59,70.84554598,400,37571,25.5940098,"WTCBTC"
2017-11-05 00:00:00,0.00068201,0.00068201,0.000653,0.00065802,69830,2017-11-05 02:59:59,46.4139553,334,12350,8.20535786,"WTCBTC"
2017-11-05 03:00:00,0.00066291,0.00069999,0.00064871,0.00065,88740,2017-11-05 06:59:59,58.54276511,420,29428,19.72183112,"WTCBTC"
2017-11-05 07:00:00,0.00064875,0.000653,0.00063502,0.000649,96645,2017-11-05 10:59:59,62.24649614,449,30069,19.39204108,"WTCBTC"
2017-11-05 11:00:00,0.000647,0.00065999,0.000626,0.00062956,97248,2017-11-05 14:59:59,62.25996603,495,30811,19.95191344,"WTCBTC"
2017-11-05 15:00:00,0.00062956,0.00066,0.0006265,0.000655,112302,2017-11-05 18:59:59,72.31775956,523,66422,42.84715562,"WTCBTC"
2017-11-05 19:00:00,0.00065499,0.00069,0.0006432,0.00066669,121743,2017-11-05 22:59:59,81.29473831,646,56772,38.02548785,"WTCBTC"
2017-11-05 23:00:00,0.00066703,0.000677,0.00065314,0.00067306,142723,2017-11-06 02:59:59,95.33708671,523,94084,63.05740285,"WTCBTC"
2017-11-06 03:00:00,0.00067694,0.00068963,0.00065601,0.00066948,599483,2017-11-06 06:59:59,408.2344496,721,518234,353.91852184,"WTCBTC"
2017-11-06 07:00:00,0.00066599,0.000685,0.00065619,0.00068,257720,2017-11-06 10:59:59,174.30405522,675,191318,129.82523677,"WTCBTC"
2017-11-06 11:00:00,0.000683,0.000725,0.000673,0.00071661,283940,2017-11-06 14:59:59,199.61674295,1277,170024,119.74143881,"WTCBTC"
2017-11-06 15:00:00,0.00071661,0.00071799,0.00068688,0.00070552,143719,2017-11-06 18:59:59,100.44126896,931,62436,43.73731584,"WTCBTC"
2017-11-06 19:00:00,0.00070559,0.0007137,0.00069401,0.000696,532472,2017-11-06 22:59:59,373.48556174,573,463680,325.37120804,"WTCBTC"
2017-11-06 23:00:00,0.000696,0.00069782,0.00068703,0.00068906,294917,2017-11-07 02:59:59,203.94970801,395,250461,173.1890555,"WTCBTC"
2017-11-07 03:00:00,0.000691,0.00069945,0.0006816,0.00068553,335024,2017-11-07 06:59:59,231.84388754,433,299770,207.59978634,"WTCBTC"
2017-11-07 07:00:00,0.00068884,0.00070098,0.0006801,0.00070098,83903,2017-11-07 10:59:59,57.6400221,570,41410,28.53542762,"WTCBTC"
2017-11-07 11:00:00,0.00070001,0.00071298,0.00069,0.00069001,68566,2017-11-07 14:59:59,47.98420669,453,28869,20.28057857,"WTCBTC"
2017-11-07 15:00:00,0.0006915,0.00069499,0.00068,0.00068,98810,2017-11-07 18:59:59,67.69139613,448,31887,21.94830326,"WTCBTC"
2017-11-07 19:00:00,0.0006849,0.00069,0.00065611,0.000659,543382,2017-11-07 22:59:59,359.57719281,536,461365,305.11193516,"WTCBTC"
2017-11-07 23:00:00,0.000659,0.00066682,0.00065213,0.00066308,69869,2017-11-08 02:59:59,45.9307494,347,22358,14.7202703,"WTCBTC"
2017-11-08 03:00:00,0.0006624,0.00066821,0.0006521,0.0006521,275519,2017-11-08 06:59:59,182.33564285,351,232759,154.29506436,"WTCBTC"
2017-11-08 07:00:00,0.00065149,0.00065878,0.00065001,0.00065077,69521,2017-11-08 10:59:59,45.31455402,364,23400,15.29690124,"WTCBTC"
2017-11-08 11:00:00,0.000654,0.001117,0.000652,0.0009879,1831515,2017-11-08 14:59:59,1646.49857677,7769,1060510,945.8690876,"WTCBTC"
2017-11-08 15:00:00,0.00098498,0.00102499,0.0008577,0.00087113,680944,2017-11-08 18:59:59,649.21629316,3365,273608,263.02311494,"WTCBTC"
2017-11-08 19:00:00,0.00087113,0.000902,0.00079114,0.0007984,368329,2017-11-08 22:59:59,314.27327967,1687,143044,123.74552622,"WTCBTC"
2017-11-08 23:00:00,0.0007984,0.00087,0.00079114,0.00084666,685770,2017-11-09 02:59:59,577.51537883,1090,613170,517.0498311,"WTCBTC"
2017-11-09 03:00:00,0.00084666,0.00094498,0.000832,0.0008888,202480,2017-11-09 06:59:59,181.22784997,1353,101920,91.49742291,"WTCBTC"
2017-11-09 07:00:00,0.00089,0.00092449,0.00085242,0.000879,171759,2017-11-09 10:59:59,153.81699034,1177,72647,65.76078756,"WTCBTC"
2017-11-09 11:00:00,0.00087901,0.000897,0.0008622,0.00087495,143979,2017-11-09 14:59:59,125.8378385,903,72702,63.62458779,"WTCBTC"
2017-11-09 15:00:00,0.0008735,0.000898,0.0008519,0.000869,118828,2017-11-09 18:59:59,103.48489755,876,55329,48.41449018,"WTCBTC"
2017-11-09 19:00:00,0.00087978,0.00087978,0.00083961,0.00086793,1106393,2017-11-09 22:59:59,951.9912891,618,1036675,892.3625672,"WTCBTC"
