"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-11-02 00:00:00,2.246e-05,2.246e-05,2.246e-05,2.246e-05,100,2017-11-02 03:59:59,0.002246,1,0,0,"XRPBTC"
2017-11-02 04:00:00,2.8e-05,2.905e-05,2.4e-05,2.725e-05,1084823,2017-11-02 07:59:59,28.2503602,709,699181,18.23831262,"XRPBTC"
2017-11-02 08:00:00,2.764e-05,2.884e-05,2.5e-05,2.7e-05,1257395,2017-11-02 11:59:59,33.4610429,727,238526,6.41587938,"XRPBTC"
2017-11-02 12:00:00,2.678e-05,2.9e-05,2.677e-05,2.838e-05,1717654,2017-11-02 15:59:59,47.35428136,1097,1045727,29.09751773,"XRPBTC"
2017-11-02 16:00:00,2.836e-05,3.175e-05,2.621e-05,2.959e-05,1870030,2017-11-02 19:59:59,52.92437026,1233,914522,25.89862882,"XRPBTC"
2017-11-02 20:00:00,2.957e-05,4.598e-05,2.475e-05,2.674e-05,6500089,2017-11-02 23:59:59,207.74167269,2653,3313130,106.93827176,"XRPBTC"
2017-11-03 00:00:00,2.678e-05,2.808e-05,2.475e-05,2.74e-05,2032624,2017-11-03 03:59:59,54.94199074,951,979442,26.63875581,"XRPBTC"
2017-11-03 04:00:00,2.777e-05,2.813e-05,2.662e-05,2.758e-05,2277760,2017-11-03 07:59:59,62.59516345,1046,1290106,35.60015118,"XRPBTC"
2017-11-03 08:00:00,2.722e-05,2.932e-05,2.7e-05,2.813e-05,2758441,2017-11-03 11:59:59,77.44897587,1199,1212892,34.16117064,"XRPBTC"
2017-11-03 12:00:00,2.813e-05,2.92e-05,2.748e-05,2.92e-05,2211891,2017-11-03 15:59:59,62.970056,1055,1057508,30.27821667,"XRPBTC"
2017-11-03 16:00:00,2.904e-05,2.942e-05,2.853e-05,2.871e-05,2886992,2017-11-03 19:59:59,83.8010477,1209,1176183,34.22923653,"XRPBTC"
2017-11-03 20:00:00,2.9e-05,2.922e-05,2.744e-05,2.784e-05,2132924,2017-11-03 23:59:59,60.90948811,1056,1161544,33.26572695,"XRPBTC"
2017-11-04 00:00:00,2.785e-05,2.902e-05,2.78e-05,2.817e-05,1865234,2017-11-04 03:59:59,52.51694293,971,975575,27.49190538,"XRPBTC"
2017-11-04 04:00:00,2.803e-05,2.851e-05,2.781e-05,2.821e-05,1766829,2017-11-04 07:59:59,49.69536521,988,522853,14.77395569,"XRPBTC"
2017-11-04 08:00:00,2.821e-05,2.831e-05,2.741e-05,2.79e-05,3414368,2017-11-04 11:59:59,95.62873098,1145,710528,19.90825068,"XRPBTC"
2017-11-04 12:00:00,2.79e-05,2.792e-05,2.711e-05,2.757e-05,1687779,2017-11-04 15:59:59,46.46593757,841,874184,24.16345089,"XRPBTC"
2017-11-04 16:00:00,2.758e-05,2.799e-05,2.665e-05,2.706e-05,1852679,2017-11-04 19:59:59,50.16588547,966,667649,18.11024879,"XRPBTC"
