"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-10-31 04:00:00,9.2e-07,9.6e-07,9e-07,9e-07,2225315,2017-10-31 07:59:59,2.08896888,139,1733266,1.63817426,"XVGBTC"
2017-10-31 08:00:00,9e-07,9.4e-07,8.4e-07,8.4e-07,13291035,2017-10-31 11:59:59,11.65846927,341,4370406,3.87766656,"XVGBTC"
2017-10-31 12:00:00,8.4e-07,1.22e-06,8.4e-07,1.19e-06,28321327,2017-10-31 15:59:59,28.78516239,850,18535669,18.87666711,"XVGBTC"
2017-10-31 16:00:00,1.18e-06,1.24e-06,1e-06,1.12e-06,54822439,2017-10-31 19:59:59,61.76120353,1276,27629114,31.30850244,"XVGBTC"
2017-10-31 20:00:00,1.11e-06,1.11e-06,1e-06,1e-06,8081845,2017-10-31 23:59:59,8.38147144,253,2584050,2.73708928,"XVGBTC"
2017-11-01 00:00:00,1e-06,1.08e-06,1e-06,1.05e-06,10652148,2017-11-01 03:59:59,11.14977069,503,4761440,4.99267493,"XVGBTC"
2017-11-01 04:00:00,1.05e-06,1.05e-06,9.9e-07,9.9e-07,7113196,2017-11-01 07:59:59,7.18915654,197,1791242,1.80905995,"XVGBTC"
2017-11-01 08:00:00,1e-06,1.01e-06,9.4e-07,9.8e-07,5823767,2017-11-01 11:59:59,5.64054648,247,3869329,3.73650441,"XVGBTC"
2017-11-01 12:00:00,9.8e-07,1.05e-06,9.7e-07,1.01e-06,8783880,2017-11-01 15:59:59,8.85868504,266,3426815,3.49092109,"XVGBTC"
2017-11-01 16:00:00,1.01e-06,1.01e-06,9.3e-07,9.4e-07,4412681,2017-11-01 19:59:59,4.32882958,165,778444,0.77541869,"XVGBTC"
2017-11-01 20:00:00,9.3e-07,9.5e-07,8.6e-07,8.6e-07,8882660,2017-11-01 23:59:59,7.88671401,311,1640457,1.4660855,"XVGBTC"
2017-11-02 00:00:00,8.5e-07,8.9e-07,8e-07,8.2e-07,5851622,2017-11-02 03:59:59,4.85921912,190,1723859,1.44852859,"XVGBTC"
2017-11-02 04:00:00,8.3e-07,9e-07,8e-07,8.7e-07,5859263,2017-11-02 07:59:59,4.90700557,320,2779650,2.37708945,"XVGBTC"
2017-11-02 08:00:00,8.8e-07,9.2e-07,8.4e-07,8.6e-07,2828173,2017-11-02 11:59:59,2.45754036,191,1978174,1.72558744,"XVGBTC"
2017-11-02 12:00:00,8.6e-07,9e-07,8.5e-07,8.8e-07,4984632,2017-11-02 15:59:59,4.38478111,172,1450999,1.28472443,"XVGBTC"
2017-11-02 16:00:00,8.9e-07,8.9e-07,8.5e-07,8.5e-07,2241084,2017-11-02 19:59:59,1.94122115,111,573156,0.50351496,"XVGBTC"
2017-11-02 20:00:00,8.5e-07,9.5e-07,8.3e-07,8.6e-07,18088214,2017-11-02 23:59:59,16.11030887,558,8505262,7.61875346,"XVGBTC"
