"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buyer_quote_volume","symbol"
2017-09-05 04:00:00,1.1e-05,1.172e-05,8.4e-06,9.09e-06,4865112,2017-09-05 07:59:59,47.2870463,363,2204683,21.71095723,"YOYOBTC"
2017-09-05 08:00:00,9e-06,1.093e-05,7.2e-06,7.5e-06,7512912,2017-09-05 11:59:59,66.15547043,525,2826069,26.01031399,"YOYOBTC"
2017-09-05 12:00:00,7.5e-06,7.89e-06,7e-06,7.44e-06,1673571,2017-09-05 15:59:59,12.38973576,169,589435,4.52849471,"YOYOBTC"
2017-09-05 16:00:00,7.43e-06,7.43e-06,6.61e-06,7.16e-06,1269861,2017-09-05 19:59:59,8.88876113,124,480668,3.4524582,"YOYOBTC"
2017-09-05 20:00:00,7.16e-06,7.3e-06,6.5e-06,7.01e-06,3785490,2017-09-05 23:59:59,25.92770588,213,982551,6.91967556,"YOYOBTC"
2017-09-06 00:00:00,7.13e-06,7.13e-06,5.17e-06,5.45e-06,9617955,2017-09-06 03:59:59,56.97798945,537,3086476,17.8355208,"YOYOBTC"
2017-09-06 04:00:00,5.53e-06,7.5e-06,5e-06,5.04e-06,14428639,2017-09-06 07:59:59,85.70078214,631,6401359,40.00096263,"YOYOBTC"
2017-09-06 08:00:00,5.04e-06,5.19e-06,3.8e-06,4.81e-06,20468079,2017-09-06 12:00:00,86.92219612,1189,5470211,23.8751065,"YOYOBTC"
2017-09-06 12:00:00,4.81e-06,4.81e-06,4.81e-06,4.81e-06,0,2017-09-06 16:00:00,0,0,0,0,"YOYOBTC"
2017-09-06 16:00:00,4.81e-06,4.81e-06,4.81e-06,4.81e-06,0,2017-09-06 17:56:18,0,0,0,0,"YOYOBTC"
2017-11-01 20:00:00,5.12e-06,7.76e-06,5.12e-06,5.18e-06,198677,2017-11-01 23:59:59,1.34745648,24,72558,0.52416328,"YOYOBTC"
2017-11-02 00:00:00,5.19e-06,7.43e-06,5.19e-06,6e-06,1321046,2017-11-02 03:59:59,8.53733247,188,855991,5.67418848,"YOYOBTC"
2017-11-02 04:00:00,6e-06,6.49e-06,5.5e-06,5.8e-06,1772567,2017-11-02 07:59:59,10.36177248,175,856420,5.0843833,"YOYOBTC"
2017-11-02 08:00:00,5.7e-06,6.3e-06,5.51e-06,6.23e-06,741712,2017-11-02 11:59:59,4.44623091,138,428396,2.58183399,"YOYOBTC"
2017-11-02 12:00:00,6.23e-06,6.47e-06,5.51e-06,6.1e-06,1429927,2017-11-02 15:59:59,8.66639475,155,759729,4.66590805,"YOYOBTC"
2017-11-02 16:00:00,5.8e-06,6.4e-06,5.7e-06,6.1e-06,2181408,2017-11-02 19:59:59,13.31046487,191,1092205,6.7107875,"YOYOBTC"
2017-11-02 20:00:00,6.1e-06,6.25e-06,5.6e-06,5.7e-06,1148914,2017-11-02 23:59:59,6.90935205,157,500258,3.01867261,"YOYOBTC"
2017-11-03 00:00:00,5.7e-06,5.9e-06,5.28e-06,5.31e-06,2309115,2017-11-03 03:59:59,12.82179872,168,1014364,5.68237409,"YOYOBTC"
2017-11-03 04:00:00,5.4e-06,5.69e-06,5.28e-06,5.4e-06,1706559,2017-11-03 07:59:59,9.20965743,119,784295,4.25309932,"YOYOBTC"
2017-11-03 08:00:00,5.4e-06,5.8e-06,5.36e-06,5.61e-06,777601,2017-11-03 11:59:59,4.29101604,127,407462,2.25143285,"YOYOBTC"
2017-11-03 12:00:00,5.61e-06,6.2e-06,5.59e-06,5.9e-06,1140951,2017-11-03 15:59:59,6.57519326,112,600036,3.46588075,"YOYOBTC"
2017-11-03 16:00:00,6.1e-06,6.3e-06,5.8e-06,5.9e-06,1935276,2017-11-03 19:59:59,11.6183176,169,932342,5.61414083,"YOYOBTC"
2017-11-03 20:00:00,5.9e-06,6.2e-06,5.7e-06,6.1e-06,828490,2017-11-03 23:59:59,4.95216096,85,529872,3.16549242,"YOYOBTC"
2017-11-04 00:00:00,6.11e-06,6.4e-06,5.91e-06,6.1e-06,1187265,2017-11-04 03:59:59,7.31099083,101,572063,3.53039859,"YOYOBTC"
2017-11-04 04:00:00,6e-06,6.66e-06,6e-06,6.31e-06,1632335,2017-11-04 07:59:59,10.1283404,147,1037848,6.46523165,"YOYOBTC"
2017-11-04 08:00:00,6.26e-06,6.36e-06,6.05e-06,6.1e-06,664764,2017-11-04 11:59:59,4.11261093,102,286020,1.77024886,"YOYOBTC"
2017-11-04 12:00:00,6.2e-06,6.32e-06,6e-06,6.11e-06,923067,2017-11-04 15:59:59,5.73411474,141,641649,4.00382593,"YOYOBTC"
2017-11-04 16:00:00,6.11e-06,6.98e-06,5.91e-06,6.69e-06,1317553,2017-11-04 19:59:59,8.26308605,94,609267,3.93456956,"YOYOBTC"
2017-11-04 20:00:00,6.59e-06,7.22e-06,6.52e-06,6.83e-06,1024142,2017-11-04 23:59:59,7.18885937,128,573934,4.05501523,"YOYOBTC"
2017-11-05 00:00:00,6.82e-06,6.83e-06,6.3e-06,6.68e-06,223931,2017-11-05 02:59:59,1.45014323,36,56659,0.36666703,"YOYOBTC"
2017-11-05 03:00:00,6.42e-06,6.73e-06,6.33e-06,6.7e-06,453944,2017-11-05 06:59:59,3.0001767,82,169572,1.11529028,"YOYOBTC"
2017-11-05 07:00:00,6.7e-06,6.8e-06,6.35e-06,6.75e-06,580302,2017-11-05 10:59:59,3.84303149,74,387171,2.56724009,"YOYOBTC"
2017-11-05 11:00:00,6.74e-06,7e-06,6.71e-06,6.9e-06,322764,2017-11-05 14:59:59,2.2086356,74,231012,1.57974886,"YOYOBTC"
2017-11-05 15:00:00,7e-06,7.09e-06,6.76e-06,6.76e-06,26790,2017-11-05 18:59:59,0.18799128,18,16272,0.11443694,"YOYOBTC"
2017-11-05 19:00:00,6.84e-06,7.51e-06,6.84e-06,7.34e-06,927087,2017-11-05 22:59:59,6.72823302,124,752702,5.47144808,"YOYOBTC"
2017-11-05 23:00:00,7.47e-06,9.8e-06,7.31e-06,9.69e-06,2675008,2017-11-06 02:59:59,23.81553584,461,1883766,16.7452318,"YOYOBTC"
2017-11-06 03:00:00,9.7e-06,1.43e-05,9.66e-06,1.301e-05,19542227,2017-11-06 06:59:59,247.55509171,2983,10776685,137.40611689,"YOYOBTC"
2017-11-06 07:00:00,1.301e-05,1.324e-05,1.062e-05,1.317e-05,6104968,2017-11-06 10:59:59,76.49448768,1164,2883979,36.32257369,"YOYOBTC"
2017-11-06 11:00:00,1.316e-05,1.333e-05,1.256e-05,1.278e-05,1954020,2017-11-06 14:59:59,25.4738156,444,948044,12.46920517,"YOYOBTC"
2017-11-06 15:00:00,1.278e-05,1.339e-05,1.224e-05,1.312e-05,1140892,2017-11-06 18:59:59,14.86568144,323,624273,8.17907136,"YOYOBTC"
2017-11-06 19:00:00,1.313e-05,1.5e-05,1.306e-05,1.438e-05,16846983,2017-11-06 22:59:59,235.42145862,1113,13480660,188.58562564,"YOYOBTC"
2017-11-06 23:00:00,1.438e-05,1.562e-05,1.326e-05,1.425e-05,13029678,2017-11-07 02:59:59,192.36863435,1724,5957107,87.93897364,"YOYOBTC"
2017-11-07 03:00:00,1.417e-05,1.423e-05,1.238e-05,1.3e-05,4532246,2017-11-07 06:59:59,60.36637107,726,1879195,24.99018809,"YOYOBTC"
2017-11-07 07:00:00,1.299e-05,1.31e-05,1.24e-05,1.3e-05,4237771,2017-11-07 10:59:59,54.02523925,648,1849090,23.55801446,"YOYOBTC"
2017-11-07 11:00:00,1.3e-05,1.339e-05,1.282e-05,1.318e-05,3356560,2017-11-07 14:59:59,44.11776754,429,1522118,20.0548817,"YOYOBTC"
2017-11-07 15:00:00,1.314e-05,1.315e-05,1.21e-05,1.212e-05,1974302,2017-11-07 18:59:59,24.81281409,273,728369,9.16802125,"YOYOBTC"
2017-11-07 19:00:00,1.212e-05,1.25e-05,1.051e-05,1.139e-05,6924961,2017-11-07 22:59:59,79.1673146,993,2290421,26.05972425,"YOYOBTC"
2017-11-07 23:00:00,1.12e-05,1.19e-05,1.101e-05,1.147e-05,4653264,2017-11-08 02:59:59,53.44152032,635,2158163,24.78823937,"YOYOBTC"
2017-11-08 03:00:00,1.143e-05,1.149e-05,1.011e-05,1.042e-05,4015342,2017-11-08 06:59:59,42.5919945,740,2368325,24.97184208,"YOYOBTC"
2017-11-08 07:00:00,1.039e-05,1.041e-05,9.62e-06,9.81e-06,4805473,2017-11-08 10:59:59,48.25360036,913,2463454,24.72396343,"YOYOBTC"
2017-11-08 11:00:00,9.81e-06,1.07e-05,8.31e-06,9.72e-06,5606570,2017-11-08 14:59:59,54.65962932,1479,2770235,27.28978868,"YOYOBTC"
2017-11-08 15:00:00,9.92e-06,1.15e-05,9.9e-06,1.07e-05,2269534,2017-11-08 18:59:59,23.83076119,1551,1459326,15.42026557,"YOYOBTC"
2017-11-08 19:00:00,1.07e-05,1.077e-05,9.93e-06,1.007e-05,7389422,2017-11-08 22:59:59,75.94714924,1003,4273866,43.97072461,"YOYOBTC"
2017-11-08 23:00:00,1.007e-05,1.024e-05,9.65e-06,9.69e-06,3610269,2017-11-09 02:59:59,35.91502751,816,1493312,14.84951193,"YOYOBTC"
2017-11-09 03:00:00,9.7e-06,1.12e-05,9.68e-06,1.06e-05,5459274,2017-11-09 06:59:59,55.99698368,1350,3386356,34.53353868,"YOYOBTC"
2017-11-09 07:00:00,1.057e-05,1.119e-05,9.6e-06,1.119e-05,28342076,2017-11-09 10:59:59,291.79223225,1906,21305797,219.13161944,"YOYOBTC"
2017-11-09 11:00:00,1.12e-05,1.203e-05,9.96e-06,1.045e-05,7724649,2017-11-09 14:59:59,82.12738414,1363,3159041,33.88157286,"YOYOBTC"
2017-11-09 15:00:00,1.04e-05,1.074e-05,1.02e-05,1.047e-05,1585944,2017-11-09 18:59:59,16.59958023,323,875999,9.1892829,"YOYOBTC"
2017-11-09 19:00:00,1.046e-05,1.059e-05,9.98e-06,1.003e-05,3033495,2017-11-09 22:59:59,31.01828127,911,916516,9.46030566,"YOYOBTC"
2017-11-09 23:00:00,1.004e-05,1.044e-05,1e-05,1.032e-05,23048611,2017-11-10 02:59:59,237.86622059,1421,17123503,176.84993903,"YOYOBTC"
2017-11-10 03:00:00,1.032e-05,1.037e-05,9.83e-06,9.93e-06,26664805,2017-11-10 06:59:59,269.07616138,1651,20778580,209.76293585,"YOYOBTC"
2017-11-10 07:00:00,9.93e-06,1e-05,9.23e-06,9.58e-06,7467451,2017-11-10 10:59:59,72.78505269,1786,5062111,49.47266632,"YOYOBTC"
2017-11-10 11:00:00,9.58e-06,9.91e-06,9.2e-06,9.35e-06,3329959,2017-11-10 14:59:59,31.44179845,1560,1240124,11.68833385,"YOYOBTC"
2017-11-10 15:00:00,9.37e-06,9.6e-06,9.1e-06,9.26e-06,1682734,2017-11-10 18:59:59,15.68591894,603,732005,6.84791923,"YOYOBTC"
2017-11-10 19:00:00,9.26e-06,9.53e-06,9.17e-06,9.27e-06,4648535,2017-11-10 22:59:59,43.14121579,825,2863829,26.55466605,"YOYOBTC"
2017-11-10 23:00:00,9.28e-06,9.51e-06,9.22e-06,9.42e-06,2834176,2017-11-11 02:59:59,26.41207321,797,1406083,13.12828682,"YOYOBTC"
2017-11-11 03:00:00,9.42e-06,9.76e-06,9.4e-06,9.55e-06,1773817,2017-11-11 06:59:59,16.90315627,768,993923,9.4595666,"YOYOBTC"
